"codgeo","latitude","longitude","distanceParis","lat01","lon01","SO.NE","NO.SE","densite"
13001,43.5361126472,5.39863025986,6.12628571614984,0.211722990189036,0.712006884570524,0.923729874759559,0.500283894381488,7.63265414977598
13002,43.3532591355,5.51137019596,6.34098771001822,0.192424073672522,0.719971586206367,0.912395659878889,0.527547512533845,4.13806784368181
13003,43.7074420957,5.15145474462,5.8562923460923,0.229805621978173,0.694544756254022,0.924350378232194,0.464739134275849,1.49317507418398
13005,43.293622565,5.56323058091,6.41853664180086,0.186129848395083,0.723635349972211,0.909765198367294,0.537505501577127,8.63034734917733
13007,43.3608226876,5.6584995888,6.40894931125631,0.193222353996423,0.730365788619201,0.923588142615624,0.537143434622778,2.86216943074854
13008,43.6714078631,5.14893723678,5.88679264880911,0.226002459325081,0.694366902695601,0.920369362020682,0.46836444337052,0.444444444444444
13009,43.6189048178,5.21317020968,5.96355928915648,0.220461128022843,0.698904748662428,0.919365876685271,0.478443620639585,0.364746945898778
13012,43.5218719974,5.54607907143,6.21301669198599,0.210219988638362,0.722423652854595,0.932643641492957,0.512203664216233,0.583084577114428
13013,43.4218060021,5.58439740173,6.31859241274717,0.199658718737214,0.725130715485467,0.924789434222681,0.525471996748253,1.46376811594203
13014,43.5035696881,5.16036124079,6.0403803871147,0.208288307174024,0.695173970595175,0.903462277769199,0.486885663421151,0.687515891177218
13015,43.4472730165,5.41253369174,6.21039161091136,0.20234658499836,0.71298911580525,0.91533570080361,0.51064253080689,6.74145006839945
13016,43.3970338914,5.62022063277,6.35821084370386,0.197044194728939,0.727661507649589,0.924705702378527,0.53061731292065,4.9244094488189
13019,43.4497576384,5.34959858323,6.1775027119336,0.202608819560756,0.7085429596423,0.911151779203056,0.505934140081544,2.68029435813573
13020,43.3942993376,5.53310558451,6.31631584151807,0.196755581592634,0.721507119139314,0.918262700731948,0.524751537546679,5.19711538461539
13021,43.3426632735,5.15414703736,6.18055347213667,0.191305754126689,0.694734957784484,0.886040711911173,0.503429203657795,5.66535433070866
13022,43.2231556866,5.55067006055,6.47347682070235,0.178692559437505,0.722747990971318,0.901440550408823,0.544055431533814,2.70373220469411
13023,43.2237743808,5.63611993581,6.51551432912496,0.178757858307644,0.728784740545686,0.907542598853331,0.550026882238042,2.01036269430052
13024,43.7211350533,5.24542996514,5.88976465999047,0.231250818426027,0.701183793125042,0.932434611551069,0.469932974699015,1.85743944636678
13025,43.4912380102,5.56894731518,6.25104605035842,0.206986784331569,0.724039218240785,0.931026002572355,0.517052433909216,1.74640423921272
13026,43.3861410907,5.14766256736,6.1388625455463,0.195894535368362,0.694276851539233,0.890171386907595,0.498382316170872,5.31412015858493
13028,43.1925559608,5.61277122446,6.53084258234563,0.175462971183213,0.727135231721065,0.902598202904278,0.551672260537853,11.0356584297779
13029,43.5786019242,5.07672185569,5.93523546563548,0.21620743788734,0.689265126130903,0.905472564018243,0.473057688243562,0.923803101820634
13030,43.2808154313,5.71009240314,6.50410189078266,0.184778144499466,0.734010649411095,0.918788793910561,0.549232504911629,1.29974747474747
13031,43.3768711445,5.59849714022,6.3644357651281,0.194916157014218,0.726126815129489,0.921042972143707,0.53121065811527,12.5652173913043
13032,43.5709871847,5.3289127344,6.06155824907672,0.21540375508935,0.707081573200951,0.922485328290301,0.491677818111601,2.33138001757984
13033,43.353805848,5.19932182627,6.19122298210035,0.192481775374819,0.697926406419076,0.890408181793895,0.505444631044257,2.12413528055342
13035,43.7027385611,5.01568074525,5.7969280646535,0.229309196611582,0.684952774634234,0.914261971245817,0.455643578022652,1.00537088111482
13037,43.5545518435,5.202525934,6.01509240399585,0.213669119124252,0.698152765976846,0.911821885101098,0.484483646852594,6.06013986013986
13039,43.4560765858,4.90416827684,5.96877316128871,0.203275740514097,0.677074789509475,0.880350530023573,0.473799048995378,1.77699316628702
13040,43.4597085483,5.55345009105,6.27020493599864,0.203659068897714,0.722944390882805,0.926603459780519,0.519285321985091,3.37890884896873
13041,43.452894398,5.48011172226,6.23904330689014,0.202939882722135,0.71776327897093,0.920703161693065,0.514823396248794,7.87910062661261
13042,43.2981344771,5.6443923856,6.45557021310023,0.186606049339425,0.729369161618237,0.915975210957662,0.542763112278812,1.98876745598057
13043,43.3905750696,5.22802801129,6.17187695139683,0.196362511005425,0.69995440294539,0.896316913950814,0.503591891939965,11.2088681446908
13044,43.614263675,5.0455200231,5.8892528212807,0.219971287676843,0.687060820401561,0.907032108078403,0.467089532724718,1.85171790235081
13046,43.4267268148,5.5471353637,6.29540192442291,0.200178076296212,0.722498276391399,0.922676352687611,0.522320200095187,6.83762057877814
13047,43.5505068804,4.95058726983,5.90374623373971,0.213242201399492,0.680354137025459,0.893596338424951,0.467111935625966,3.80231234124551
13048,43.6332318248,5.65655075157,6.17600206181364,0.22197324397541,0.730228109748601,0.952201353724011,0.508254865773191,0.551771457085828
13049,43.705102811,5.08883315995,5.82874420090663,0.229558726746498,0.690120749507931,0.919679476254429,0.460562022761432,1.02
13050,43.6617192366,5.25227382208,5.94494917721786,0.224979892176959,0.701667288862676,0.926647181039635,0.476687396685717,1.50337526848727
13051,43.5759797113,5.15931944247,5.97584298231771,0.215930681551763,0.695100371007748,0.91103105255951,0.479169689455985,1.29366685945633
13053,43.7286693845,5.18355783154,5.85307718847199,0.232046014687147,0.696812732605193,0.92885874729234,0.464766717918045,2.12504366049598
13054,43.4175902763,5.21204444666,6.14052780783941,0.199213778197028,0.698825217248121,0.898038995445148,0.499611439051093,13.948532539345
