"codgeo","latitude","longitude","densite","taux_cumu_1_inj","lat01","lon01","SO.NE","NO.SE","distParis","distanceParis"
200000172,46.0596818402434,7.76980435927295,235.933292799444,0.623,0.472972671867689,0.757123696558087,1.625210739598,-0.110963346481829,46.7104287178552,0.296321944095595
200000438,47.5485321418065,-0.560694792626496,108.338172815356,0.688,0.63057856123569,0.168753899088192,1.07628910314574,-0.738781304969358,47.5518378981389,0.616065062223702
200000545,48.4852524042537,5.02895437192055,175.392520696546,0.639,0.729737375185641,0.563541856796877,1.49589613883876,-0.368812425245011,48.7453596025206,0.209239586480548
200000628,44.1892705216103,6.12552065387214,158.693053526365,0.597,0.27497570800391,0.640990574990079,1.45951972306286,-0.177538573082703,44.6118104599339,0.510405743205177
200000800,47.577588727545,3.45556535837183,30.7907872843506,0.764,0.633654417171317,0.452415913637523,1.36072099286092,-0.455889165585873,47.7029127105819,0.344373390800863
200000925,47.2059023737858,6.50821570337839,112.736960754176,0.727,0.594308649306891,0.668019712700198,1.5664766942903,-0.230437268889904,47.6524300593904,0.20185156034833
200000933,47.421387843959,3.75952281395312,14.9780413725168,0.755,0.617119390680205,0.473883941341368,1.37805036565746,-0.430282482974729,47.570180121961,0.331978603539351
200004802,43.5701593325667,8.23186700631329,68.843137254902,0.587,0.209438179170788,0.789758440419208,1.59188379165119,-0.0123669108127704,44.3409789999598,0.559999024465879
200005932,47.7051631543783,3.34406757677202,36.9122369745482,0.759,0.647159120082385,0.44454100410545,1.35622625964756,-0.467144251436658,47.8222268358957,0.346651626205315
200005957,48.4039946326718,7.81630891140008,39.6765564202335,0.663,0.721135635074639,0.7604082385066,1.69060953736816,-0.169793060354955,49.0310246823187,0.0486924775537474
200006682,46.965204023704,6.1008476553839,91.9722266960148,0.752,0.568828936877624,0.63924796066904,1.53132746612152,-0.252831544783442,47.3598007924689,0.238620846266648
200006716,48.4780408799822,4.85110049589771,56.8869359472706,0.673,0.728973981649492,0.5509803227151,1.48314353022764,-0.381182884797437,48.7201562352023,0.221726661050134
200006930,44.6533522421779,5.15085364167929,19.7735158424524,0.72,0.324102213356868,0.572151406759237,1.40297673425252,-0.25867392073405,44.9494511612991,0.486572872571384
200006971,48.2469975528781,2.36639197591515,64.8542103207018,0.747,0.704516325287024,0.375489344081422,1.30153089224373,-0.550552204080887,48.3049954337137,0.398821465693273
200007052,46.4298490150318,3.16778228116375,19.7758066769102,0.76,0.512157623327291,0.432090256343198,1.30998514527545,-0.445804632589058,46.5377881311468,0.423722452669539
200007177,46.9219440297556,4.16569514081191,19.1927933598206,0.727,0.564249544434251,0.502571241506004,1.39350454226275,-0.388362059250744,47.1064947490014,0.336092615533325
200010650,47.0961005105759,6.79688592852585,127.983027802522,0.693,0.582685304577552,0.688408027830976,1.58395572997546,-0.207139674313509,47.584034524488,0.203069557328689
200010700,49.5866388547934,2.10572476833277,135.267562593326,0.736,0.846327331135509,0.357078837179525,1.31861514645271,-0.604457472093656,49.6313291149419,0.41915979075663
200011773,46.1885100473117,7.6061062786308,1161.37239784117,0.543,0.486610096751412,0.745561963605786,1.61706240277472,-0.125938475563147,46.8105897539482,0.283419551880094
200011781,46.9426359794736,4.33544897043163,33.2576148683531,0.727,0.566439941369826,0.514560682298435,1.40604223116541,-0.376920866568543,47.1424139228846,0.325299272185671
200013050,49.0272240779617,8.84970768862383,87.8980891719745,0.728,0.787109111993125,0.833395537127492,1.78010974899509,-0.113318674740104,49.8195345920128,0.0668263751368975
200015162,42.2976273041067,11.167979540847,12.6638014578856,0.644,0.074731189566697,0.997131360791995,1.76554005944575,0.228722662138241,43.7471489651828,0.730824031341168
200016905,44.9357273454734,5.95496967682862,29.8503462139826,0.679,0.353993720410024,0.6289448329533,1.46725189217642,-0.209362226269817,45.3285920354766,0.438070761489138
200017341,43.6827616100241,4.72333833540909,26.5068060939331,0.609,0.221357968598175,0.541956686181404,1.34706551585136,-0.263152143488553,43.9373825677969,0.592912016961389
200017846,48.3706550604369,3.53583296106182,114.853096596914,0.639,0.717606393130233,0.458085085709564,1.38740302859342,-0.471232857174297,48.4997153157037,0.315196396653897
