"codgeo","latitude","longitude","distanceParis","lat01","lon01","SO.NE","NO.SE","densite"
13001,43.5361126472,5.39863025986,6.12628571614984,0.0593775010112676,0.901222608944695,0.960600109955963,0.841845107933428,7.63265414977598
13002,43.3532591355,5.51137019596,6.34098771001822,0.0277746098271338,0.932601195424684,0.960375805251818,0.90482658559755,4.13806784368181
13003,43.7074420957,5.15145474462,5.8562923460923,0.0889886682633711,0.832426949225546,0.921415617488917,0.743438280962175,1.49317507418398
13005,43.293622565,5.56323058091,6.41853664180086,0.0174675173869382,0.947035349197804,0.964502866584742,0.929567831810866,8.63034734917733
13007,43.3608226876,5.6584995888,6.40894931125631,0.0290818317216417,0.97355130180831,1.00263313352995,0.944469470086669,2.86216943074854
13008,43.6714078631,5.14893723678,5.88679264880911,0.0827608090269022,0.831726258412653,0.914487067439555,0.748965449385751,0.444444444444444
13009,43.6189048178,5.21317020968,5.96355928915648,0.0736866161824477,0.84960403947882,0.923290655661267,0.775917423296372,0.364746945898778
13012,43.5218719974,5.54607907143,6.21301669198599,0.0569162646815045,0.942261618236992,0.999177882918497,0.885345353555488,0.583084577114428
13013,43.4218060021,5.58439740173,6.31859241274717,0.0396216842750519,0.95292665036918,0.992548334644232,0.913304966094128,1.46376811594203
13014,43.5035696881,5.16036124079,6.0403803871147,0.0537530446599217,0.834905869029583,0.888658913689504,0.781152824369661,0.687515891177218
13015,43.4472730165,5.41253369174,6.21039161091136,0.0440231927688478,0.905092311684532,0.94911550445338,0.861069118915684,6.74145006839945
13016,43.3970338914,5.62022063277,6.35821084370386,0.0353402771991091,0.962897228604955,0.998237505804064,0.927556951405845,4.9244094488189
13019,43.4497576384,5.34959858323,6.1775027119336,0.0444526143031103,0.887575761530939,0.932028375834049,0.843123147227829,2.68029435813573
13020,43.3942993376,5.53310558451,6.31631584151807,0.0348676594988801,0.938650744438863,0.973518403937743,0.903783084939983,5.19711538461539
13021,43.3426632735,5.15414703736,6.18055347213667,0.025943308526575,0.83317628742365,0.859119595950225,0.807232978897075,5.66535433070866
13022,43.2231556866,5.55067006055,6.47347682070235,0.00528860395259106,0.943539415210398,0.948828019162989,0.938250811257807,2.70373220469411
13023,43.2237743808,5.63611993581,6.51551432912496,0.00539553394970772,0.967322436500848,0.972717970450555,0.96192690255114,2.01036269430052
13024,43.7211350533,5.24542996514,5.88976465999047,0.0913552459954505,0.858582805668886,0.949938051664336,0.767227559673435,1.85743944636678
13025,43.4912380102,5.56894731518,6.25104605035842,0.0516217392714264,0.948626471624157,1.00024821089558,0.897004732352731,1.74640423921272
13026,43.3861410907,5.14766256736,6.1388625455463,0.0334576554653942,0.831371483290256,0.86482913875565,0.797913827824862,5.31412015858493
13028,43.1925559608,5.61277122446,6.53084258234563,0,0.960823855930051,0.960823855930051,0.960823855930051,11.0356584297779
13029,43.5786019242,5.07672185569,5.93523546563548,0.0667209968240611,0.811626756327536,0.878347753151597,0.744905759503474,0.923803101820634
13030,43.2808154313,5.71009240314,6.50410189078266,0.0152540381436966,0.987910983412864,1.00316502155656,0.972656945269167,1.29974747474747
13031,43.3768711445,5.59849714022,6.3644357651281,0.0318555145039342,0.956850990570697,0.988706505074631,0.924995476066763,12.5652173913043
13032,43.5709871847,5.3289127344,6.06155824907672,0.0654049281219799,0.881818327928632,0.947223256050612,0.816413399806652,2.33138001757984
13033,43.353805848,5.19932182627,6.19122298210035,0.027869099101559,0.845749658223421,0.87361875732498,0.817880559121862,2.12413528055342
13035,43.7027385611,5.01568074525,5.7969280646535,0.0881757481790764,0.794637357281956,0.882813105461032,0.706461609102879,1.00537088111482
13037,43.5545518435,5.202525934,6.01509240399585,0.0625643794516875,0.846641448435257,0.909205827886944,0.784077068983569,6.06013986013986
13039,43.4560765858,4.90416827684,5.96877316128871,0.0455447289976752,0.763600408400802,0.809145137398477,0.718055679403127,1.77699316628702
13040,43.4597085483,5.55345009105,6.27020493599864,0.0461724474079222,0.94431317321026,0.990485620618182,0.898140725802338,3.37890884896873
13041,43.452894398,5.48011172226,6.23904330689014,0.0449947459328933,0.92390111314543,0.968895859078323,0.878906367212536,7.87910062661261
13042,43.2981344771,5.6443923856,6.45557021310023,0.0182473190205137,0.969624883975242,0.987872202995756,0.951377564954729,1.98876745598057
13043,43.3905750696,5.22802801129,6.17187695139683,0.034223987768157,0.853739369237286,0.887963357005443,0.819515381469129,11.2088681446908
13044,43.614263675,5.0455200231,5.8892528212807,0.0728844793817107,0.80294243880769,0.875826918189401,0.73005795942598,1.85171790235081
13046,43.4267268148,5.5471353637,6.29540192442291,0.040472156912136,0.942555613066942,0.983027769979078,0.902083456154806,6.83762057877814
13047,43.5505068804,4.95058726983,5.90374623373971,0.0618652814277848,0.776520074991341,0.838385356419126,0.714654793563556,3.80231234124551
13048,43.6332318248,5.65655075157,6.17600206181364,0.0761627777776273,0.973008887472518,1.04917166525015,0.896846109694891,0.551771457085828
13049,43.705102811,5.08883315995,5.82874420090663,0.0885843656107423,0.814997661272619,0.903582026883361,0.726413295661877,1.02
13050,43.6617192366,5.25227382208,5.94494917721786,0.081086306819334,0.860487636949418,0.941573943768752,0.779401330130084,1.50337526848727
13051,43.5759797113,5.15931944247,5.97584298231771,0.0662677951974152,0.834615908259604,0.90088370345702,0.768348113062189,1.29366685945633
13053,43.7286693845,5.18355783154,5.85307718847199,0.0926574175908718,0.84136211030547,0.934019527896342,0.748704692714598,2.12504366049598
13054,43.4175902763,5.21204444666,6.14052780783941,0.038893073036028,0.849290709052167,0.888183782088195,0.810397636016139,13.948532539345
