"","X_CENTROID","Y_CENTROID","SUPERFICIE","SIREN"
"186",656605,7089931,45072,200040954
"187",944226,6493974,31563,200041010
"188",544558,6413051,25612,200041051
"189",555677,6455001,58161,200041150
"190",544968,6434587,48225,200041168
"191",1072527,6882122,14927,200041283
"192",430176,6580900,80034,200041317
"193",1066286,6866020,15763,200041325
"194",454509,6619787,82640,200041333
"195",841884,6427493,20169,200041366
"196",458773,6639128,19626,200041416
"197",553875,6404472,38526,200041440
"198",810143,6426122,48893,200041465
"199",400294,6579504,44157,200041499
"200",924334,6869315,26928,200041515
"201",433021,6484075,174717,200041523
"202",619591,6585264,33742,200041556
"203",513441,6480696,40281,200041572
"204",405865,6562615,45291,200041614
"205",798096,6970896,43312,200041622
"206",831828,6961573,54933,200041630
"207",434457,6544227,141134,200041689
"208",938852,6760302,43093,200041721
"209",393370,6544762,42646,200041762
"210",941482,6715074,23880,200041853
"211",949855,6738260,37139,200041861
"212",931856,6744275,36715,200041879
"213",909511,6691089,30321,200041887
"214",711051,7045944,31235,200041960
"215",454836,6593893,34696,200041994
"216",972949,6795093,22156,200042000
"217",227162,6764525,73270,200042174
"218",460029,6817118,54693,200042182
"219",727813,7030278,37392,200042190
"220",522232,6277163,40392,200042372
"221",873409,6630745,28310,200042414
"222",644488,6253225,29756,200042463
"223",841126,6542569,18099,200042497
"224",371613,6869328,28611,200042604
"225",814275,6892264,47971,200042620
"226",710236,6284453,45946,200042646
"227",698223,6254119,31420,200042653
"228",833863,6887739,83395,200042703
"229",388199,6925774,30278,200042729
"230",843569,6363221,28933,200042901
"231",899292,6564105,61063,200042935
"232",1222755,6218509,30861,200042943
"233",824740,6839755,28826,200042992
"234",480528,6550402,40261,200043016
"235",549156,6706608,25310,200043065
"236",487308,6678652,34746,200043081
"237",246576,6743818,52440,200043123
"238",792557,6932805,81589,200043156
"239",577489,6457626,80796,200043172
"240",769559,7005010,41946,200043263
"241",748986,7016770,46830,200043321
"242",392693,6869827,29653,200043354
"243",768862,7017532,34548,200043396
"244",779824,6996057,17993,200043404
"245",808019,6865611,49206,200043438
"246",745835,6937737,30858,200043495
"247",698723,6159148,29486,200043602
"248",498309,6598468,37693,200043628
"249",890415,6932113,24367,200043693
"250",627620,6195815,93390,200043776
"251",436094,6384335,82601,200043974
"252",449455,6370994,60729,200043982
"253",333374,6768867,50388,200043990
"254",632935,6533050,61423,200044014
"255",628847,7033051,50198,200044030
"256",700460,7018344,33316,200044048
"257",857967,6813884,69805,200044253
"258",457350,6390897,32602,200044394
"259",607621,6217270,33699,200044469
