codgeo;SEXE-AGE3_B_POP_ENS_ENS;SEXE-AGE3_B_POP_1_ENS;SEXE-AGE3_B_POP_2_ENS;SEXE-AGE3_B_POP_ENS_00;SEXE-AGE3_B_POP_1_00;SEXE-AGE3_B_POP_2_00;SEXE-AGE3_B_POP_ENS_20;SEXE-AGE3_B_POP_1_20;SEXE-AGE3_B_POP_2_20;SEXE-AGE3_B_POP_ENS_65;SEXE-AGE3_B_POP_1_65;SEXE-AGE3_B_POP_2_65;CS1_8-SEXE_POP_ENS_ENS;CS1_8-SEXE_POP_1_ENS;CS1_8-SEXE_POP_2_ENS;CS1_8-SEXE_POP_3_ENS;CS1_8-SEXE_POP_4_ENS;CS1_8-SEXE_POP_5_ENS;CS1_8-SEXE_POP_6_ENS;CS1_8-SEXE_POP_7_ENS;CS1_8-SEXE_POP_8_ENS;CS1_8-SEXE_POP_ENS_1;CS1_8-SEXE_POP_1_1;CS1_8-SEXE_POP_2_1;CS1_8-SEXE_POP_3_1;CS1_8-SEXE_POP_4_1;CS1_8-SEXE_POP_5_1;CS1_8-SEXE_POP_6_1;CS1_8-SEXE_POP_7_1;CS1_8-SEXE_POP_8_1;CS1_8-SEXE_POP_ENS_2;CS1_8-SEXE_POP_1_2;CS1_8-SEXE_POP_2_2;CS1_8-SEXE_POP_3_2;CS1_8-SEXE_POP_4_2;CS1_8-SEXE_POP_5_2;CS1_8-SEXE_POP_6_2;CS1_8-SEXE_POP_7_2;CS1_8-SEXE_POP_8_2;IRANC-AGE5_55_POP_ENS_ENS;IRANC-AGE5_55_POP_2_ENS;IRANC-AGE5_55_POP_3_ENS;IRANC-AGE5_55_POP_ENS_01;IRANC-AGE5_55_POP_2_01;IRANC-AGE5_55_POP_3_01;IRANC-AGE5_55_POP_ENS_15;IRANC-AGE5_55_POP_2_15;IRANC-AGE5_55_POP_3_15;IRANC-AGE5_55_POP_ENS_25;IRANC-AGE5_55_POP_2_25;IRANC-AGE5_55_POP_3_25;IRANC-AGE5_55_POP_ENS_55;IRANC-AGE5_55_POP_2_55;IRANC-AGE5_55_POP_3_55;IRANR_2_POP_ENS;IRANR_2_POP_1;IRANR_2_POP_2;IRANR_2_POP_3;IRANR_2_POP_4;IRANR_2_POP_5;IRANR_2_POP_6;IRANR_2_POP_7;SEXE-AGE15_15_90_POP_ENS_ENS;SEXE-AGE15_15_90_POP_1_ENS;SEXE-AGE15_15_90_POP_2_ENS;SEXE-AGE15_15_90_POP_ENS_00;SEXE-AGE15_15_90_POP_1_00;SEXE-AGE15_15_90_POP_2_00;SEXE-AGE15_15_90_POP_ENS_15;SEXE-AGE15_15_90_POP_1_15;SEXE-AGE15_15_90_POP_2_15;SEXE-AGE15_15_90_POP_ENS_30;SEXE-AGE15_15_90_POP_1_30;SEXE-AGE15_15_90_POP_2_30;SEXE-AGE15_15_90_POP_ENS_45;SEXE-AGE15_15_90_POP_1_45;SEXE-AGE15_15_90_POP_2_45;SEXE-AGE15_15_90_POP_ENS_60;SEXE-AGE15_15_90_POP_1_60;SEXE-AGE15_15_90_POP_2_60;SEXE-AGE15_15_90_POP_ENS_75;SEXE-AGE15_15_90_POP_1_75;SEXE-AGE15_15_90_POP_2_75;SEXE-AGE15_15_90_POP_ENS_90;SEXE-AGE15_15_90_POP_1_90;SEXE-AGE15_15_90_POP_2_90
93014;28992;14166771291;14825228709;10353909526;5195225368;5158684157;15937127474;7671158819;8265968655;2700963;1300387103;1400575897;20846042523;2.822956;615039449;543825559;2066442244;4165482359;3424617561;2605780105;742203229;10057262159;2.822956;530383008;228805386;1079340559;1255064406;2950277369;1321584887;2688983588;10788780364;0;84656441;315020173;987101685;2910417953;474340192;1284195218;4733048702;1472219326;501546894;970672432;361624056;123.459113;238164942;263063835;90.001582;173062253;716551;227080606;489470394;130980435;61.005592;69974843;28445397138;26973177813;501546894;43567529;397.814596;79.754632;9.675338;47.752576;28992;14166771291;14825228709;8145957477;4111509133;4034448344;621080841;3025862918;3184945492;5909067516;2907059477;3002008039;4769920445;2301768227;2468152219;2972387087;1415001451;1557385636;895964599;380284992;515679607;87894464;25.285092;62609372
93015;4866;2376377211;2489622789;1323973426;697237602;626735824;2693464358;1309851633;1383612726;848562216;369287977;479274239;3803418849;0;1624379;397231722;759705667;627764988;312819981;1025202276;518256315;1876937104;0;122714728;248269826;392266325;137610918;287992998;465149242;222933067;1926481745;0;39723172;148961896;367439342;490154071;24826983;560053034;295323248;523936022;107113252;41682277;166905845;26.861107;140044738;49849751;16.632572;33217179;25463413;45243766;209390364;52546296;18.375807;34170489;4790519121;4266583099;107113252;276409152;115.586635;18.868507;0;5.958476;4866;2376377211;2489622789;1051794322;551206979;500587343;714004291;363258362;350745928;992448288;462516227;52993206;99544519;505122742;490322448;762843022;362443129;400399893;31032611;121225505;189100605;39138778;10.604266;28534511
93027;43946;22398321015;21547678985;13684662182;697599905;6708663131;26108105183;13425475631;12682629552;4153232635;1996846334;2156386301;33427835112;12.387556;1272101058;1241691901;3227200153;7586583455;6345132054;415414907;9588589865;17065817037;11.49946;1037732914;77088074;1651311174;2732187019;5078408752;2104095075;3679701903;16362018075;0.888096;234368144;470811161;1575888979;4854396436;1266723303;2050053995;5908887962;3961740315;1539729879;2422010436;765277342;414.437015;350840326;640391425;208.349943;432041482;2302862987;792127457;151073553;253208562;124.815464;128393098;43169483261;39207742946;1539729879;971068794;732.93033;237.480388;21.137651;459.393272;43946;22398321015;21547678985;105137418;5317076713;5196665086;9481223884;4926170886;4555052998;9720312104;4927647347;4792664758;8199271839;4253446215;3945825624;4435990083;2264745021;2171245063;145958722;672651003;786936217;13587307;36.583831;99289239
93029;72109;35240769294;36868230706;20601127117;10392917637;1020820948;42262167841;20847545433;21414622408;9245705042;4000306224;5245398818;56056121166;0;2089365373;2891734745;7451780125;12107173588;856165434;9810935598;13143477397;27197882519;0;1683837163;1544092194;3541880205;396624881;7145660288;4551861606;4764302252;28858238647;0;40552821;1347642551;3909899919;8140924778;1415994051;5259073992;8379175145;5876676489;2388857286;3487819204;1256498886;636.319166;62017972;1031818254;300.239899;731578355;3143150997;1220578797;19225722;445208352;231.719424;213488928;70818835047;64942158557;2388857286;1892301851;894.766446;322.593704;16.037393;362.11981;72109;35240769294;36868230706;16027460147;8036808387;7990651759;14634045775;7255961902;7378083874;15484290168;7647398968;7836891199;13390374824;6626606645;6763768179;8218686353;403320456;4185481793;3871620451;1484661447;2386959004;482522283;156.127385;326394898
93030;10757;5191871359;5565128641;3557178952;1763305925;1793873028;6240094704;3015133143;3224961562;959726343;413432292;546294051;8025544424;2.71926;173048449;285784965;1011093483;2139295536;1255707183;1028441897;2129453651;3846672472;0;159928615;153237061;446388382;813787795;1009298012;471665588;79236702;4178871952;2.71926;13119834;132547904;564705102;1325507741;246409171;55677631;1337086631;731050778;179297525;551753253;151681824;53.616778;98065046;147118038;16.402769;130715269;377324791;95881251;28144354;54926125;13.396727;41529398;10570396765;9839345987;179297525;244834211;143.88248;122.745514;10.203725;30.087323;10757;5191871359;5565128641;2762455006;1365198519;1397256487;2419413296;1197553196;12218601;2288522107;1084039014;1204483093;1820629652;905355694;915273958;1064792895;503233555;56155934;369523564;128009679;241513885;31663479;8.481702;23181778
93031;54771;26229488245;28541511755;16892331752;8341222122;855110963;31678886309;15156354832;16522531477;6199781939;2731911291;3467870647;41520315167;1.994955;1135394739;2827991431;5415567029;9279938827;5844065705;6567036618;10448325863;19664020783;1.994955;909172511;1743169325;257899394;2709826538;4845620801;3033532916;3841709797;21856294384;0;226222228;1084822106;2836573089;6570112288;998444904;3533503703;6606616066;3354562943;1005963604;2348599339;740069479;281.487717;458581762;584975047;133.043692;451931355;1809401168;502827167;1306574;22011725;88.605028;131512222;53736833733;50382270789;1005963604;639053769;1189.757264;228.303915;21.4316;270.052792;54771;26229488245;28541511755;13253079477;6568212068;6684867409;11660558584;54456726;6214885984;11982210004;5842622042;6139587962;9258650573;4520528764;4738121809;6049154528;2819364315;3229790213;227588043;956721651;1319158779;291466405;76.366805;2150996
93032;39618;18942129212;20675870788;11101606261;553997533;5561630931;22880572649;11009029245;11871543404;5635821089;2393124637;3242696453;30877708473;2.981642;972946651;3567362988;5333009277;587851401;3406926362;6130303778;5585663764;14607999625;2.981642;799349961;2007604372;2398269912;1598012066;2836613201;2680542049;2284626422;16269708847;0;17359669;1559758616;2934739365;4280501944;570313161;3449761729;3301037342;2984428268;990268929;1994159339;759537255;290.553699;468983556;437499822;141.006487;296493335;1633050526;510734572;1122315954;154340665;47.974171;106366494;38978240752;35993812484;990268929;1150151129;575.987429;146.480889;12.378607;109.161286;39618;18942129212;20675870788;8755791439;433712957;4418661869;7234617604;3518075091;3716542513;8289569287;4082257996;4207311291;786396496;375962212;410434284;4834391408;2206759698;262763171;2322275338;939102031;1383173307;317389966;99.182707;218207258
93033;6878;3358;3520;1740;864;876;3934;1926;2008;1204;568;636;5565;0;180;1045;1075;750;320;1370;825;2640;0;120;625;440;210;285;635;325;2925;0;60;420;635;540;35;735;500;554;172;382;124;54;70;68;12;56;299;84;215;63;22;41;6818;6264;172;108;218;41;1;14;6878;3358;3520;1334;667;667;1107;528;579;1373;665;708;1421;714;707;1160;588;572;432;186;246;51;10;41
93039;8012;3834641751;4177358249;2418544895;1248955764;1169589131;4782817054;2219947811;2562869243;810638051;365738176;444899875;6057589857;0;13875988;512725178;950066453;1454835609;653030313;911015743;1437156682;2779585566;0;118425721;302453718;431569802;473051385;529645543;399574953;524864444;3278004291;0;20334159;21027146;518496651;981784224;12338477;51144079;912292238;654604211;189722093;464882118;143211119;67.041154;76169965;87312794;12.24823;75064564;377135971;90169025;286966946;46944327;20.263684;26680643;7886170632;7231566421;189722093;18056438;181.610188;46.160594;2.047165;54.499791;8012;3834641751;4177358249;1889730683;990731306;898999377;1625621612;77074102;854880592;1781057504;820896857;960160647;1508489414;708270424;800218989;891043451;420139688;470903763;301731003;12181529;179915713;14326333;2.047165;12279168
93045;23402;1096158403;1244041597;5481804661;2807419746;2674384916;14204703287;6723077814;7481625473;3715492051;143108647;2284405581;19097761057;1.00002;68636624;394928713;3319198112;2880408954;1221177468;3994789116;3045534017;8736389722;1.00002;529883765;2036827215;1384106256;1033913825;987075007;1580038007;1183545627;10361371335;0;156482475;1912459916;1935091856;1846495129;234102461;2414751109;1861988389;2040807052;406941061;1633865991;354534923;121.534295;233000628;278248966;25.025721;253223245;1253840901;211969241;1041871661;154182262;48.411804;105770458;23072442967;21031635915;406941061;439241157;944.953283;122.238807;13.16983;114.262914;23402;1096158403;1244041597;4291764647;2219194186;2072570461;4199588813;2059821208;2139767605;5593013169;2647601212;2945411957;4324091443;2050033096;2274058347;322265021;1369945175;1852705035;152083562;559967478;960868142;250056097;55.021675;195034423
