"","insee","nom","surf_km2"
"175","13007","Auriol","4462"
"176","13110","Trets","7007"
"177","13077","Port-de-Bouc","1178"
"178","13053","Mallemort","2863"
"179","69087","Fontaines-Saint-Martin","272"
"180","69233","Saint-Romain-au-Mont-d'Or","261"
"181","13009","La Barben","2292"
"182","13012","Beaurecueil","1005"
"183","13118","Coudoux","1262"
"184","13037","La Fare-les-Oliviers","1430"
"185","13087","Rousset","1952"
"186","13086","Roquevaire","2397"
"187","13074","Peyrolles-en-Provence","3511"
"188","13073","Peypin","1326"
"189","13020","Cadolive","416"
"190","13101","Saint-Savournin","591"
"191","13026","Châteauneuf-les-Martigues","3279"
"192","13059","Meyrargues","4169"
"193","13040","Fuveau","3006"
"194","13035","Eyguières","6889"
"195","13092","Saint-Chamas","2676"
"196","13047","Istres","11417"
"197","13105","Sénas","3065"
"198","13051","Lançon-Provence","6916"
"199","13117","Vitrolles","3669"
"200","13109","Le Tholonet","1085"
"201","13041","Gardanne","2713"
"202","13081","Rognac","1762"
"203","13015","Bouc-Bel-Air","2193"
"204","13019","Cabriès","3669"
"205","13112","Velaux","2515"
"206","13001","Aix-en-Provence","18748"
"207","13032","Éguilles","3413"
"208","13080","Le Puy-Sainte-Réparade","4487"
"209","13091","Saint-Cannat","3676"
"210","13070","La Penne-sur-Huveaune","364"
"211","13005","Aubagne","5470"
"212","13002","Allauch","5041"
"213","13107","Simiane-Collongue","3004"
"214","13075","Plan-de-Cuques","857"
"215","13071","Les Pennes-Mirabeau","3371"
"216","13044","Grans","2765"
"217","13103","Salon-de-Provence","7040"
"218","13023","Ceyreste","2316"
"219","13111","Vauvenargues","5436"
"220","13039","Fos-sur-Mer","8780"
"221","13056","Martigues","7647"
"222","13104","Sausset-les-Pins","1194"
"223","13033","Ensuès-la-Redonne","2602"
"224","13088","Le Rove","2311"
"225","13078","Port-Saint-Louis-du-Rhône","8300"
"226","83120","Saint-Zacharie","2692"
"227","13079","Puyloubier","4089"
"228","69153","Poleymieux-au-Mont-d'Or","633"
"229","69072","Dardilly","1407"
"230","69163","Quincieux","1799"
"231","92024","Clichy","308"
"232","69100","Irigny","881"
"233","13115","Vernègues","1592"
"234","69089","Francheville","825"
"235","69142","La Mulatière","184"
"236","69293","Sathonay-Village","512"
"237","69283","Mions","1166"
"238","69068","Couzon-au-Mont-d'Or","312"
"239","69152","Pierre-Bénite","447"
"240","69191","Saint-Cyr-au-Mont-d'Or","727"
"241","69292","Sathonay-Camp","190"
"242","69063","Collonges-au-Mont-d'Or","380"
"243","69168","Rochetaillée-sur-Saône","138"
