codgeo,D1_st_Living,Median_st_Living,D9_st_Living,Interdecile_91_Ratio,Taxable_HH,Poverty_amg_Owners,Poverty_amg_Tenants,-30_Poverty,3039_Poverty,4049_Poverty,5059_Poverty,6074_Poverty,75+_Poverty,Poverty,Activity_Income,Salary_Income,Unemployment_Benef,Self-Employment,Pensions_Annuities,Estate,Social_Benef,Family_Benef,Social_Minima,Housing_Benef,Tax,taux_cumu_1_inj
200030195,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
200030385,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0
200030435,0,0,1,1,0,1,1,NA,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0
200030526,1,1,1,0,1,0,0,NA,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0
200030633,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0
200030658,1,1,1,1,1,1,0,NA,1,0,0,NA,NA,0,0,0,1,1,1,1,0,0,0,0,0,0
200030674,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
200032514,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,1,1,1,0
200033025,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
200033090,1,1,1,0,1,0,0,NA,0,0,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0
200033116,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1
200033173,1,1,1,1,1,0,0,NA,NA,0,0,NA,NA,0,1,1,0,0,0,1,0,0,0,0,0,0
200033181,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
200033298,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0
200033579,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0
200033827,0,0,0,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
200033868,0,0,0,0,0,1,1,NA,1,1,1,1,NA,1,0,0,1,0,1,0,1,0,1,1,1,0
