"","V1","V2","V3"
"493","Pop_CraftsBusinessShopkeepers_HH","CraftsBusinessShopkeepers_HH","0.974242730342974"
"494","CraftsBusinessShopkeepers_HH","X15._CraftsBusinessShopkeeper_amg_POP","0.966588988069847"
"495","X15._men_CraftsBusinessShopkeeper_amg_mPOP","X15._CraftsBusinessShopkeeper_amg_POP","0.964260094326421"
"496","CraftsBusinessShopkeepers_HH","X15._men_CraftsBusinessShopkeeper_amg_mPOP","0.956616744923027"
"497","X15._CraftsBusinessShopkeeper_amg_POP","X15._men_CraftsBusinessShopkeeper_amg_mPOP","0.964260094326421"
"498","Family_w_Children_amg_HH","Family_wo_Children_amg_HH","-1"
"499","NoChildFamily_HH","Family_wo_Children_amg_HH","1"
"500","Pop_NoChildFamily_HH","Family_wo_Children_amg_HH","0.99073387333099"
"501","Family_wo_Children_amg_HH","Family_w_Children_amg_HH","-1"
"502","NoChildFamily_HH","Family_w_Children_amg_HH","-1"
"503","Pop_NoChildFamily_HH","Family_w_Children_amg_HH","-0.990733873329159"
"504","Family_wo_Children_amg_HH","NoChildFamily_HH","1"
"505","Family_w_Children_amg_HH","NoChildFamily_HH","-1"
"506","Pop_NoChildFamily_HH","NoChildFamily_HH","0.99073387333099"
"507","Family_wo_Children_amg_HH","Pop_NoChildFamily_HH","0.99073387333099"
"508","Family_w_Children_amg_HH","Pop_NoChildFamily_HH","-0.990733873329159"
"509","NoChildFamily_HH","Pop_NoChildFamily_HH","0.99073387333099"
"510","Pop_SingleWoman_HH","SingleWoman_HH","0.984085521718116"
"511","SingleWoman_HH","Pop_SingleWoman_HH","0.984085521718116"
"512","SinglePerson_HH","Pop_SingleWoman_HH","0.951478405727725"
"513","Pop_SingleWoman_HH","SinglePerson_HH","0.951478405727725"
"514","Family_HH","SinglePerson_HH","-0.994580303904636"
"515","Pop_Family_HH","SinglePerson_HH","-0.978621775829301"
"516","SinglePerson_HH","Family_HH","-0.994580303904636"
"517","Pop_Family_HH","Family_HH","0.986492811946221"
"518","SinglePerson_HH","Pop_Family_HH","-0.978621775829301"
"519","Family_HH","Pop_Family_HH","0.986492811946221"
"520","X15._men_amg_salWF","X15._women_amg_salWF","-1"
"521","X15._Men_amg_salWF","X15._women_amg_salWF","-1"
"522","X15._Women_amg_salWF","X15._women_amg_salWF","1"
"523","X15._women_amg_salWF","X15._men_amg_salWF","-1"
"524","X15._Men_amg_salWF","X15._men_amg_salWF","1"
"525","X15._Women_amg_salWF","X15._men_amg_salWF","-1"
"526","X15._women_amg_salWF","X15._Men_amg_salWF","-1"
"527","X15._men_amg_salWF","X15._Men_amg_salWF","1"
"528","X15._Women_amg_salWF","X15._Men_amg_salWF","-1"
"529","X15._women_amg_salWF","X15._Women_amg_salWF","1"
"530","X15._men_amg_salWF","X15._Women_amg_salWF","-1"
"531","X15._Men_amg_salWF","X15._Women_amg_salWF","-1"
"532","Social_Minima","Social_Benef","0.951925625727524"
"533","Housing_Benef","Social_Benef","0.968102144971649"
"534","Social_Benef","Social_Minima","0.951925625727524"
"535","Social_Benef","Housing_Benef","0.968102144971649"
"536","X2064_men_amg_mPOP","X2064_amg_POP","0.967700853678174"
"537","X2064_women_amg_wPOP","X2064_amg_POP","0.976551121959808"
"538","X2064_amg_POP","X2064_men_amg_mPOP","0.967700853678174"
"539","X2064_amg_POP","X2064_women_amg_wPOP","0.976551121959808"
"540","X4559_men_amg_mPOP","X4559_amg_POP","0.96351557664914"
"541","X4559_women_amg_wPOP","X4559_amg_POP","0.964089272005498"
"542","X4559_amg_POP","X4559_men_amg_mPOP","0.96351557664914"
"543","X4559_amg_POP","X4559_women_amg_wPOP","0.964089272005498"
"544","SONE","lat","0.981213849564737"
"545","SENO","lat","0.971975155405069"
"546","lat","SONE","0.981213849564737"
"547","lat","SENO","0.971975155405069"
"548","X15._men_VocationalGraduate_amg_mWF","X15._VocationalGraduate_amg_WF","0.990595763262979"
"549","X15._women_VocationalGraduate_amg_wWF","X15._VocationalGraduate_amg_WF","0.972213011023108"
"550","X15._VocationalGraduate_amg_WF","X15._men_VocationalGraduate_amg_mWF","0.990595763262979"
"551","X15._VocationalGraduate_amg_WF","X15._women_VocationalGraduate_amg_wWF","0.972213011023108"
"552","X15._men_NoDiploma_amg_mWF","X15._NoDiploma_amg_WF","0.967137317819064"
"553","X15._women_NoDiploma_amg_wWF","X15._NoDiploma_amg_WF","0.978888035438784"
"554","X15._NoDiploma_amg_WF","X15._men_NoDiploma_amg_mWF","0.967137317819064"
"555","X15._NoDiploma_amg_WF","X15._women_NoDiploma_amg_wWF","0.978888035438784"
"556","SingleParent_HH","Single_Parent_Family_amg_HH","1"
"557","Pop_SingleParent_HH","Single_Parent_Family_amg_HH","0.989814087190405"
"558","Single_Parent_Family_amg_HH","SingleParent_HH","1"
"559","Pop_SingleParent_HH","SingleParent_HH","0.989814087190405"
"560","Single_Parent_Family_amg_HH","Pop_SingleParent_HH","0.989814087190405"
"561","SingleParent_HH","Pop_SingleParent_HH","0.989814087190405"
"562","X1524_Employed_rate_amg_WF","X1524_Unemployed_rate_amg_WF","-1"
"563","X1524_men_Employed_rate_amg_WF","X1524_Unemployed_rate_amg_WF","-0.951611960854194"
"564","X1524_Unemployed_rate_amg_WF","X1524_Employed_rate_amg_WF","-1"
"565","X1524_men_Employed_rate_amg_WF","X1524_Employed_rate_amg_WF","0.95161196094829"
"566","X1524_Unemployed_rate_amg_WF","X1524_men_Employed_rate_amg_WF","-0.951611960854194"
"567","X1524_Employed_rate_amg_WF","X1524_men_Employed_rate_amg_WF","0.95161196094829"
"568","X15._Employers_amg_nonsalWF","X15._SelfEmployed_amg_nonsalWF","-0.973684762342132"
"569","X15._SelfEmployed_amg_nonsalWF","X15._Employers_amg_nonsalWF","-0.973684762342132"
"570","Pop_Retired_HH","Pensions_Annuities","0.955147666000512"
"571","Salary_Income","Activity_Income","0.98066234592279"
"572","Activity_Income","Salary_Income","0.98066234592279"
"573","X15._IntermediateProf_amg_POP","X15._women_IntermediateProf_amg_wPOP","0.956434918519983"
"574","X3044_amg_POP","X3044_men_amg_mPOP","0.981924841314579"
"575","X15._women_OtherNoActivity_amg_wPOP","X15._OtherNoActivity_amg_POP","0.961654492603881"
"576","X15._OtherNoActivity_amg_POP","X15._women_OtherNoActivity_amg_wPOP","0.961654492603881"
"577","X90._women_amg_wPOP","X90._amg_POP","0.988906677255161"
"578","X90._amg_POP","X90._women_amg_wPOP","0.988906677255161"
"579","Pop_per_1ry_res_Owner","Pop_per_1ry_res","0.962953066998465"
"580","Pop_per_1ry_res","Pop_per_1ry_res_Owner","0.962953066998465"
"581","X1ry_res_gt0car","X1ry_res_0car","-1"
"582","X1ry_res_0car","X1ry_res_gt0car","-1"
"583","X2ry_res","X1ry_res","-0.973960095876688"
"584","X1ry_res","X2ry_res","-0.973960095876688"
