codgeo,0205_School,0610_School,1114_School,1517_School,1824_School,2529_School,30+_School,15+_NoDiploma_amg_WF,15+_CertifGeneEducation_amg_WF,15+_VocationalGraduate_amg_WF,15+_HighSchoolGraduate_amg_WF,15+_HSG+2_amg_WF,15+_HSG+4_amg_WF,15+_HSG+5+_amg_WF,15+_HighEducation_amg_WF,15+_men_NoDiploma_amg_mWF,15+_men_VocationalGraduate_amg_mWF,15+_men_HighSchoolGraduate_amg_mWF,15+_men_HighEducation_amg_mWF,15+_women_NoDiploma_amg_wWF,15+_women_VocationalGraduate_amg_wWF,15+_women_HighSchoolGraduate_amg_wWF,15+_women_HighEducation_amg_wWF,15+_MenOnWomen_NoDiploma,15+_MenOnWomen_VocationalGraduate,15+_MenOnWomen_HighSchoolGraduate,15+_MenOnWomen_HighEducation,taux_cumu_1_inj
200027100,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0
200027183,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
200027217,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0
200027308,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
200027548,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1
200029734,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
200029999,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
200030195,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1
200030385,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
200030435,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0
200030526,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
200030633,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0
200030658,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0
200030674,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
200032514,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
