codgeo,Abstention,LePen,Melenchon,Macron,Fillon,DupontAignan,Lassalle,Hamon,Asselineau,Poutou,Arthaud,Cheminade,Abstention2,LePen2,Macron2
13001,0.22240523681497934,0.14946188714925332,0.19598709641536194,0.263730915765177,0.27453488695458717,0.0320364859979421,0.008342834895297422,0.05564670875163381,0.008857309713840763,0.006994076587224339,0.0027392307906226538,0.0016685669790594843,0.2563313506518926,0.2641096689514365,0.7358903310485635
13002,0.16242921530105167,0.3338265342070035,0.16317903191714225,0.17980694708659198,0.2134855210314944,0.046290424857324035,0.012048192771084338,0.03290354400056366,0.007257098569717466,0.006763897696047347,0.0025364616360177552,0.0019023462270133164,0.2143393610260558,0.49995830205987823,0.5000416979401218
13003,0.16213544241225902,0.29222357229647633,0.1859052247873633,0.20899149453219928,0.18712029161603888,0.04556500607533415,0.013973268529769137,0.04191980558930741,0.00850546780072904,0.00850546780072904,0.006075334143377886,0.001215066828675577,0.19445818901533893,0.4440583738707436,0.5559416261292565
13005,0.20288126261699393,0.2862976050255202,0.25669414998036905,0.16599921476246565,0.17919120533961524,0.03992932862190813,0.009736945425991362,0.039183352964271695,0.009619159795838241,0.0082842559874362,0.003729878288182175,0.0013349038084020416,0.26008502309080345,0.45777590010796604,0.542224099892034
13007,0.16105925765140006,0.34519714210108493,0.18840963217782483,0.16909235247419951,0.18073564435035724,0.041942312781159036,0.010187880391638,0.04207462291611538,0.00793860809738026,0.009790949986768986,0.003440063508864779,0.0011907912146070388,0.2114633087277464,0.5224135256708546,0.47758647432914536
13008,0.10950413223140495,0.20673076923076922,0.15865384615384615,0.2668269230769231,0.2283653846153846,0.02403846153846154,0.026442307692307692,0.07211538461538461,0.004807692307692308,0.004807692307692308,0.002403846153846154,0.004807692307692308,0.14256198347107438,0.3236994219653179,0.6763005780346821
13009,0.13748191027496381,0.3013698630136986,0.1558219178082192,0.18493150684931506,0.2363013698630137,0.07191780821917808,0.0136986301369863,0.017123287671232876,0.008561643835616438,0.005136986301369863,0.003424657534246575,0.0017123287671232876,0.1649782923299566,0.4869215291750503,0.5130784708249497
13012,0.1292372881355932,0.11793611793611794,0.11056511056511056,0.3194103194103194,0.343980343980344,0.036855036855036855,0.009828009828009828,0.051597051597051594,0.004914004914004914,0,0.004914004914004914,0,0.15254237288135594,0.24043715846994534,0.7595628415300546
13013,0.12491178546224418,0.2556016597510373,0.22240663900414936,0.2149377593360996,0.1950207468879668,0.04979253112033195,0.010788381742738589,0.038174273858921165,0.010788381742738589,0.0016597510373443983,0,8.298755186721991e-4,0.1834862385321101,0.41624874623871616,0.5837512537612839
13014,0.23445844904934843,0.35315985130111527,0.2875321704317987,0.12610809265084358,0.10380325993708893,0.04003431512725193,0.009722619388046897,0.04603946239633972,0.014726908778953388,0.008864741206748641,0.009007720903631684,0.0010008578781812983,0.2587054048280282,0.5067622616913802,0.49323773830861983
13015,0.16641938674579623,0.22424426246082296,0.15387726215751693,0.25255282580123345,0.26235972095844706,0.04044080477201496,0.008998079061773329,0.04155292690324537,0.007380446870892731,0.004751794560711758,0.003033060357901122,8.088160954402993e-4,0.20987552551314814,0.36756249266518015,0.6324375073348198
13016,0.14657055482743556,0.3249869587897757,0.18570683359415754,0.18935837245696402,0.17996870109546165,0.04773082942097027,0.01278038601982264,0.037037037037037035,0.008346374543557642,0.006259780907668232,0.006259780907668232,0.001564945226917058,0.2035823503713412,0.49706518381217174,0.5029348161878282
13019,0.17271390046580043,0.20828313253012049,0.14352409638554217,0.2427710843373494,0.30150602409638555,0.041716867469879515,0.011897590361445783,0.03674698795180723,0.00572289156626506,0.00391566265060241,0.001957831325301205,0.001957831325301205,0.21843589114979162,0.35703029241814044,0.6429697075818596
13020,0.15644820295983086,0.29244673983214975,0.2130406714009038,0.20206584893479665,0.1594577146546159,0.05487411233053583,0.008392511297611363,0.045190445448676564,0.007746933505487412,0.008392511297611363,0.006455777921239509,0.001936733376371853,0.2111111111111111,0.4624322230828815,0.5375677769171185
13021,0.16883802816901408,0.24445879061760276,0.10716591349257586,0.2040025823111685,0.3671185711211534,0.029696578437701744,0.0066709705186141595,0.030557348827200344,0.004519044544867657,0.0032278889606197547,0.001506348181622552,0.0010759629868732515,0.22464788732394367,0.4371472550025654,0.5628527449974345
13022,0.19755114230252352,0.18494704992435704,0.11289712556732225,0.18437972768532526,0.43910741301059003,0.027042360060514373,0.009266263237518911,0.02723146747352496,0.00661875945537065,0.004916792738275341,0.00264750378214826,9.455370650529501e-4,0.26116171420038825,0.3711458812701335,0.6288541187298665
13023,0.16927490871152842,0.26859903381642514,0.14653784219001612,0.19581320450885667,0.2673107890499195,0.047020933977455714,0.011594202898550725,0.03671497584541063,0.01320450885668277,0.008695652173913044,0.0025764895330112722,0.001932367149758454,0.21961398017736045,0.4504573170731707,0.5495426829268293
13024,0.1827848101265823,0.2833545108005083,0.2071156289707751,0.18043202033036848,0.18678526048284624,0.05273189326556544,0.015247776365946633,0.05146124523506988,0.0044472681067344345,0.011435832274459974,0.005717916137229987,0.0012706480304955528,0.22227848101265824,0.43117261471230883,0.5688273852876912
13025,0.15807174887892378,0.1791044776119403,0.14721845318860244,0.2639077340569878,0.2856173677069199,0.042740841248303935,0.011533242876526458,0.051560379918588875,0.010854816824966078,0.0033921302578018998,0.0027137042062415195,0.0013568521031207597,0.20795964125560537,0.29603174603174603,0.703968253968254
13026,0.19279053084648493,0.41116173120728927,0.18086560364464693,0.155125284738041,0.1335990888382688,0.05056947608200456,0.011389521640091117,0.0337129840546697,0.006605922551252847,0.010136674259681093,0.005011389521640091,0.0018223234624145787,0.23672883787661406,0.5968421052631578,0.4031578947368421
13028,0.21146509949479328,0.27573742692668124,0.20755053773037618,0.18974519166406353,0.21080815743674416,0.04203668169039225,0.01039760810388683,0.040474809228435,0.00959435940916596,0.007987862019724217,0.0036592440537284126,0.0020081217368021777,0.2553841926287226,0.44708355228586444,0.5529164477141356
