codgeo,SinglePerson_HH,SingleMan_HH,SingleWoman_HH,OtherNoFamily_HH,Family_HH,NoChildFamily_HH,ChildFamily_HH,SingleParent_HH,Farmer_HH,CraftsBusinessShopkeepers_HH,HighQualidied_HH,Intermediate_HH,BlueCollar_HH,WhiteCollar_HH,Retired_HH,Other_HH,15+_SinglePerson_HH,Pop_SingleMan_HH,Pop_SingleWoman_HH,Pop_OtherNoFamily_HH,Pop_Family_HH,Pop_NoChildFamily_HH,Pop_ChildFamily_HH,Pop_SingleParent_HH,Pop_Farmer_HH,Pop_CraftsBusinessShopkeepers_HH,Pop_HighQualidied_HH,Pop_Intermediate_HH,Pop_BlueCollar_HH,Pop_WhiteCollar_HH,Pop_Retired_HH,Pop_Other_HH,1524_amg_15+POP,2554_amg_15+POP,5579_amg_15+POP,80+_amg_15+POP,15+_Single_amg_POP,15+_Married_amg_POP,15+_nonMarried_amg_POP,1524_amg_HH,2554_amg_HH,5579_amg_HH,80+_amg_HH,1524_amg_Single,2554_amg_Single,5579_amg_Single,80+_amg_Single,Family_w_Children_amg_HH,Single_Parent_Family_amg_HH,Family_wo_Children_amg_HH,taux_cumu_1_inj
69163,22.304832713754646,9.293680297397769,13.011152416356877,0.7434944237918215,76.95167286245353,37.68115942028985,49.27536231884058,13.043478260869565,1.858736059479554,9.293680297397769,15.613382899628252,14.12639405204461,13.011152416356877,15.985130111524164,27.881040892193308,2.2304832713754648,31.78466076696165,3.5816618911174785,5.01432664756447,0.5730659025787965,90.83094555873926,25.55205047318612,63.564668769716086,10.883280757097792,1.4326647564469914,9.885386819484241,19.91404011461318,16.4756446991404,15.18624641833811,17.908309455587393,17.76504297994269,1.4326647564469914,13.753687315634219,50.99557522123894,30.014749262536874,5.23598820058997,20.9070796460177,51.36430678466077,48.63569321533923,13.753687315634219,50.99557522123894,30.014749262536874,5.23598820058997,2.3178807947019866,33.77483443708609,41.72185430463576,22.185430463576157,62.31884057971015,13.043478260869565,37.68115942028985,0.688
69191,24.312477885051077,10.350856922727413,13.961620962323664,2.132632356572184,73.55488975837673,46.10355960517239,43.22787666068781,10.668563734139806,0,13.047162979009737,27.929614625021035,14.038257081381214,2.3770019833338383,8.59446356214611,33.0577610548012,0.9557387603976846,37.59764157726021,4.209481870872657,5.677905778008872,2.6875877384809774,87.4250246126375,32.5260833337329,57.86975675638745,9.60415990987964,0,15.656255747197665,36.90757641679791,14.55458195367717,2.5854959043087007,7.344368894935763,22.17870457552158,0.7730164888170228,13.678725354934974,40.76769260777612,36.147422711865566,9.406159346423753,23.758471713105568,53.41028166846995,46.58971833153005,14.14570850936089,40.858577056135466,37.80464517887232,7.191069278251606,2.692307753205029,31.15384627988948,43.461538655560204,22.69230767956174,53.896440394827614,10.668563734139806,46.10355960517239,0.742
69194,24.673237592488878,9.86929502222787,14.803942570261006,1.9797557617418318,73.34700664576928,51.330605248064145,37.75088936793218,10.918505384003677,0.19388086364866242,11.610457442444517,26.344914084895677,10.68185301567381,5.552898113355946,6.3634180191051035,36.2331941059353,3.019384354940993,36.69685340702602,4.124126579758359,6.18618988506513,1.883766951628869,87.80591658354764,37.20329979820049,52.361454459763415,10.435245759606202,0.24305359844216845,14.787676671243807,33.030562026538185,13.029359346921957,5.126527018668567,5.632910284576946,25.989746676936296,2.1601643920996625,13.984313858400995,35.971693152251405,40.6294165432428,9.414576446104796,22.417919126603525,55.81610536971903,44.183894630280975,14.727574423089635,37.839864147414396,39.976646543835805,7.455914885660157,2.791461333720049,28.243021333397788,46.30541881434575,22.660098518536422,48.669394751935855,10.918505384003677,51.330605248064145,0.759
69199,35.55250965602989,17.133930004505494,18.418579651524396,1.7838733284383648,62.66361701553175,25.092761990601872,54.13975373022176,20.76748427917635,0,3.936530479000735,3.5019292681162377,13.263495619560683,26.844097637205568,19.18538274377583,23.474714186324928,9.793850052508926,45.72525440987694,6.642825502434715,7.1408842335411755,1.7109437223821273,84.50534654164198,15.228875073529222,67.5373875523482,17.23373737412258,0,5.647228950427369,3.477892908642631,14.06065053423154,33.855903432989614,19.787629652066922,14.837948791372936,8.332745719795582,17.16742938965704,52.56705397812509,24.26471432800145,6.000802304216428,30.952157430351548,46.80539421946807,53.19460578053193,17.267249098364502,52.79359696105729,24.38017858082786,5.558975359750347,3.3938872246434935,41.15449146793247,39.73554971716362,15.716071628252344,74.90723800939811,20.76748427917635,25.092761990601872,0.499
69202,35.082421484739605,11.792534280443597,23.289887204296004,1.234839548499105,63.682738966761285,42.956214375713856,40.20319996111167,16.84058566317446,0,5.00552061981312,19.439944559731316,16.90972621618002,7.0123926759675035,13.215943456198756,35.08568206761694,3.3307904147312994,41.072961392996966,5.338005465126755,10.542394215032223,1.3115736063831778,82.80802671345783,30.276715156686002,54.69075830056698,15.032526542747,0,6.497673121819155,24.90099110719862,19.01766585178331,8.335528761062461,15.009715291950647,23.85153053218174,2.3868953293693034,12.294338159667793,42.6147011693439,34.93200612102755,10.15895454996075,24.72819797536177,46.72043763616654,53.27956236383347,12.479403816987324,43.036259662041324,35.39553851040036,9.088798010570978,3.278038717318736,26.933109584738137,47.117929712767896,22.67092198517523,57.04378562428613,16.84058566317446,42.956214375713856,0.737
69204,33.47706632793414,12.762474901480918,20.71459142645322,1.5528564114232093,64.97007726064264,40.1187393811224,44.26048897506051,15.620771626380686,0.09281833003272165,4.474638183977931,16.868445419579153,17.271274253775516,10.695986069525519,14.808886635560672,31.95694124324409,3.8310098643044053,41.29670695219939,5.522211909425129,8.963023579443997,1.4729655486674096,84.04179896246346,27.355573843597632,58.724914649637945,13.919511506764414,0.11939470507371984,5.675843706125088,20.963426929386806,18.954188327123678,12.9332094206258,16.455664104351154,21.792723960939547,3.105548846374201,15.030341543626184,43.58390485306032,33.95540409379726,7.430349509516235,26.45700988398297,46.69143584927703,53.30856415072298,14.93041070268883,43.934197008647686,34.31106370862667,6.8243285800368225,4.565750870805545,31.178489604898086,44.544406406853525,19.71135311744283,59.8812606014412,15.620771626380686,40.1187393811224,0.701
69205,22.694844339162987,10.199930056587737,12.494914282575252,0.7664707988352055,76.53868486200179,41.39444731522634,47.913469252087665,10.692083432685987,0,6.4030527678109,22.277014361228886,19.45035819868215,9.970070496666228,9.47043114414375,30.132117818273393,2.296955213194693,33.50001626557129,4.019138106503901,4.923444165988538,0.6040339649155144,90.45338376259204,28.04953905404555,63.034629651937784,8.915831294016668,0,8.282366342533841,27.668624851693146,22.114401412342982,9.08153877529468,11.008900707619265,20.535229294459793,1.308938616056298,14.357098327033453,45.49787662395084,35.32707444039796,4.817950583844006,23.740271934384122,53.28283081857082,46.71716918142917,14.300672744791244,45.311283107332656,35.50476592133077,4.883278201435677,4.67706014644682,32.293986683307736,46.99331841404657,16.035634756198863,58.60555268477366,10.692083432685987,41.39444731522634,0.724
69207,29.718875480361618,12.048192781589215,17.670682698772403,0.8032128679587635,69.47791165167962,36.41618492032042,46.8208092973544,16.763005782325177,0.8032128679587635,5.2208835624678835,20.08032130264869,20.08032130264869,11.646586347609833,15.662650608139574,24.09638556317843,2.409638524612212,35.87820239330281,5.04201681090391,7.394957969423125,0.6722689213889284,86.89075629828405,24.758220517004894,61.121856866759245,14.119922654411413,1.344537809606839,5.5462185019456065,24.70588236347785,20.672268901486316,11.932773122456357,18.487394973314338,15.966386551276871,1.344537809606839,13.203292758560709,52.827442190396965,29.06676695736318,4.902498093679144,23.29657011066917,44.68534498258358,55.31465501741642,13.211647114891413,52.84658845956565,29.03085616994672,4.910908298483543,2.785515375464436,42.33983299235798,42.061281124949325,12.813370507228267,63.58381507967958,16.763005782325177,36.41618492032042,0.659
69244,40.355859163519334,16.07876587385494,24.27709328966439,1.9779994176671056,57.66614141881356,40.11235547760691,42.27443038041388,17.613214141979206,0.057264777569890575,5.028095756006615,20.845657065530837,19.594612966942304,7.630267755184275,16.166147443173262,27.126602270771283,3.551351984152527,44.01009570659369,7.529631318856142,11.368880136621012,2.0657802408831194,79.03570830363974,27.769197441273906,57.03989404648162,15.190908512244471,0.051640042957757114,6.129380635921323,25.997740159240756,20.828299074632078,9.160444124134065,16.865693653040235,18.395333899247127,2.571468410826654,14.563181567624614,50.48013107162923,26.92874173091566,8.027945629830498,28.468450637040384,40.92638284266462,59.07361715733537,14.588829833284397,50.741349899271924,26.94751349472268,7.722306772721004,6.177068322277539,41.467178051025414,36.60168716181809,15.754066464878935,59.887644522393096,17.613214141979206,40.11235547760691,0.72
69250,27.941176470588236,10.588235294117647,17.352941176470587,0.29411764705882354,71.76470588235294,49.18032786885246,39.34426229508197,11.475409836065573,0,6.764705882352941,22.058823529411764,12.058823529411764,4.411764705882353,11.764705882352942,38.8235294117647,4.117647058823529,31.487678734408274,4.556962025316456,7.468354430379747,0.6329113924050633,87.34177215189874,34.927536231884055,54.492753623188406,10.579710144927537,0,9.873417721518987,30,12.91139240506329,4.936708860759493,11.518987341772151,27.59493670886076,3.1645569620253164,12.321265591724977,42.804989351992695,37.906905993306964,6.966839062975358,19.196836020687556,55.00456343170064,44.99543656829936,12.268803945745992,42.324290998766955,38.347718865598026,7.059186189889026,3.1055900621118013,29.19254658385093,46.58385093167702,21.11801242236025,50.81967213114754,11.475409836065573,49.18032786885246,0.743
