codgeo;superficie;SEXE-AGE3_B_POP_ENS_ENS;densite;taux_cumu_1_inj;latitude;longitude
200034270;191,660;24254;1,26547010330794e+02;0,675;6818861;1028542
200034379;479,390;28454;5,93545964663426e+01;0,636;6328993;811179
200034411;452,730;21879;4,83268173083295e+01;0,582;6316970;780017
200034601;430,190;5396;1,25432948232176e+01;0,565;6332330;748759
200034635;137,260;25709;1,87301471659624e+02;0,746;6848471;1037642
200034692;633,260;74411;1,17504658434134e+02;0,562;6342823;826276
200034700;843,800;62425;7,39808011377104e+01;0,548;6307914;936185
200034718;526,710;24070;4,56987716200566e+01;0,649;6844457;811333
200034726;428,310;11209;2,61702972146343e+01;0,671;6300547;528757
200034825;482,450;28734;5,95585034718624e+01;0,694;6563081;612179
200034833;668,240;18694;2,79749790494433e+01;0,649;6412616;525615
200034874;430,560;5986;1,39028242289112e+01;0,625;6870166;897884
200034882;435,680;44857;1,02958593463092e+02;0,639;6537565;982873
200034957;162,330;26724;1,64627610423212e+02;0,625;6300200;572176
200035087;258,830;59572;2,30158791484758e+02;0,566;6307022;851574
200035103;282,030;7630;2,70538595184909e+01;0,668;6831852;503393
200035111;349,760;11971;3,42263266239707e+01;0,680;6838258;487513
200035129;321,780;19164;5,95562185344024e+01;0,588;6352250;797375
200035137;514,000;6677;1,29902723735409e+01;0,722;6597909;568647
200035202;280,130;23382;8,34683896762218e+01;0,664;6560682;794427
200035319;352,520;114875;3,25868035856122e+02;0,590;6271394;1003386
200035327;249,720;5357;2,14520262694218e+01;0,654;6393805;560509
200035442;427,550;27349;6,39667875102327e+01;0,681;7002529;689904
200035459;483,130;96339;1,99405956988802e+02;0,622;6344298;512034
200035533;238,070;14518;6,09820640987945e+01;0,684;6428186;455913
200035541;1068,950;10804;1,01071144581131e+01;0,718;6332757;447927
200035632;280,160;6806;2,42932609937179e+01;0,692;6290119;455101
200035707;486,960;15786;3,24174470182356e+01;0,592;6234639;616381
200035715;1067,600;113464;1,06279505432746e+02;0,628;6235625;653185
200035723;404,080;9392;2,32429221936250e+01;0,547;6332758;887527
200035731;694,800;100288;1,44340817501439e+02;0,685;6552894;775963
200035756;384,100;7235;1,88362405623536e+01;0,688;6262421;487235
200035764;401,020;16797;4,18856914867089e+01;0,691;6770606;608587
200035772;350,590;14370;4,09880487178756e+01;0,705;6822333;932225
200035814;572,740;53786;9,39099766036945e+01;0,694;6853827;442673
200035848;275,990;5821;2,10913438892714e+01;0,728;6653571;563057
200035855;496,780;27116;5,45835178549861e+01;0,610;6248325;609970
200035863;823,590;33336;4,04764506611299e+01;0,597;6221042;672674
200035970;242,860;24859;1,02359384007247e+02;0,668;6891432;623500
200036069;405,960;13670;3,36732683022958e+01;0,685;6827005;517393
200036077;433,950;57333;1,32118907708261e+02;0,605;6245929;988593
200036135;382,960;18315;4,78248381031962e+01;0,664;6626118;663623
200036150;491,940;8517;1,73130869618246e+01;0,692;6749697;914639
200036465;157,610;37251;2,36349216420278e+02;0,616;6752580;1007843
200036473;476,430;59760;1,25432907247654e+02;0,661;6521767;421513
200036499;182,370;23897;1,31035806327795e+02;0,547;6180821;1224331
200036523;676,550;17048;2,51984332274037e+01;0,638;6390428;517539
200036549;499,630;20494;4,10183535816504e+01;0,664;6705745;894790
200036572;169,400;5244;3,09563164108619e+01;0,631;6349344;526991
