codgeo,taux_cumu_1_inj,week
13001,0.5018395207480996,27
13002,0.4777139859456025,27
13003,0.446820858195011,27
13005,0.4242321611460902,27
13007,0.4323633928054209,27
13008,0.5402101754911389,27
13009,0.46388392291663066,27
13012,0.5088851298015903,27
13013,0.45097747274737754,27
13014,0.3812103519136335,27
13015,0.5259751694063077,27
13016,0.4539217976855075,27
13019,0.5296207146685262,27
13020,0.47940688463387987,27
13021,0.5592928484679665,27
13022,0.5331394308462983,27
13023,0.449336138127879,27
13024,0.46166159296251835,27
13025,0.5320122379049973,27
13026,0.4010400489919451,27
13028,0.4416707668546878,27
13029,0.4395326825579261,27
13030,0.405272907918082,27
13031,0.4256346807384867,27
13032,0.5301024633155595,27
13033,0.48405386252430266,27
13035,0.4775909368778926,27
13037,0.4843952291169856,27
13039,0.4171698518229407,27
13040,0.45993104424048026,27
13041,0.4293050835812231,27
13042,0.49796743225240503,27
13043,0.41812333343750663,27
13044,0.4662984545932314,27
13046,0.46211796662644755,27
13047,0.4244999292371313,27
13048,0.4552479876009496,27
13049,0.47810058773118425,27
13050,0.4860758305757787,27
13051,0.4686902076830097,27
13053,0.4485302686329103,27
13054,0.4076496904541317,27
13056,0.4299912781371584,27
13059,0.4821787364597674,27
13060,0.4634469182712519,27
13062,0.4914513242582636,27
13063,0.394256546224516,27
13069,0.5005187874447051,27
13070,0.4451529076637234,27
13071,0.44885132003963346,27
13072,0.4904305982986978,27
13073,0.4380680786876896,27
13074,0.45306110018928775,27
13075,0.4734511762184649,27
13077,0.35763175158223837,27
13078,0.3050826085341493,27
13079,0.46787260403712055,27
13080,0.4926380440103943,27
13081,0.454889660796541,27
13082,0.52004715560022,27
13084,0.4712071526564846,27
13085,0.4737601901051253,27
13086,0.45114522301005316,27
13087,0.44642136446165437,27
13088,0.44462704354440624,27
13090,0.5105951315456526,27
13091,0.5292649485106103,27
13092,0.4370355055892585,27
13093,0.49067003332485215,27
13095,0.6031260714370741,27
13098,0.4566969059992256,27
13099,0.41216817964788555,27
13101,0.4819008257425778,27
13102,0.3982827581094054,27
13103,0.454885466128781,27
13104,0.5230950840472887,27
13105,0.4635046040067216,27
13106,0.4125970872374727,27
13107,0.4936435452127427,27
13109,0.5350976494242307,27
13110,0.44174164046243325,27
13111,0.5013861938812647,27
13112,0.5385598596095704,27
13113,0.526873264904153,27
13114,0.5499460766777915,27
13115,0.4460570341742392,27
13117,0.42447681889847066,27
13118,0.5560835084827426,27
13119,0.5047141421279779,27
13201,0.3921854516815235,27
13202,0.382579303927568,27
13203,0.2985709923730423,27
13204,0.41737151622765123,27
13205,0.45607412319377294,27
13206,0.48172014941085356,27
13207,0.5158667023750966,27
13208,0.5268131576439292,27
13209,0.4718527173833388,27
13210,0.4037929337323765,27
13211,0.41028466099079963,27
13212,0.4687205131126116,27
13213,0.37970970178704744,27
13214,0.30351124206787017,27
13215,0.29392559592610606,27
13216,0.32141641633413287,27
69003,0.553888630334076,27
69029,0.48935482774534145,27
69033,0.6080105019076506,27
69034,0.5765841663641634,27
69040,0.5572396944253827,27
69044,0.6299884871720685,27
69046,0.6166450491854283,27
69063,0.6026609431073515,27
69068,0.5951181818231167,27
69069,0.574615750178303,27
69071,0.5839549952807952,27
69072,0.577049726327998,27
69081,0.56417895995411,27
69085,0.5964739834206282,27
69087,0.6172182382705602,27
69088,0.5492037551082067,27
69089,0.5691289202532326,27
69091,0.39883394300553054,27
69096,0.462210834729656,27
69100,0.5329794751233038,27
69116,0.5814554815477192,27
69117,0.5863438206877437,27
69127,0.5699114334261769,27
69142,0.4928537717306954,27
69143,0.5401390530307407,27
69149,0.5149561612202264,27
69152,0.44409737249907544,27
69153,0.6234580411860834,27
69163,0.5486145173146465,27
69168,0.5766548586638682,27
69191,0.6176824616885951,27
69194,0.6450425693908446,27
69199,0.3682230860505177,27
69202,0.5897371711184202,27
69204,0.5514315878156344,27
69205,0.5846748100705217,27
69207,0.5433365916306254,27
69233,0.5915955355725523,27
69244,0.5683264343478389,27
69250,0.6137386259254523,27
69256,0.374342268945275,27
69259,0.3745990696059249,27
69260,0.5485927589539069,27
69266,0.48664513642732116,27
69271,0.5832803133976948,27
69273,0.5017420260328258,27
69275,0.4748241612893995,27
69276,0.4578830139724289,27
69278,0.5683153061597197,27
69279,0.6004538968472021,27
69282,0.5032007135068519,27
69283,0.5316103659964138,27
69284,0.6408219638018264,27
69286,0.4529552698019516,27
69290,0.46638988626836647,27
69292,0.5162291749142567,27
69293,0.6154011966951065,27
69296,0.5786348894210945,27
69381,0.5428764414396355,27
69382,0.5764877226616671,27
69383,0.5531058845936323,27
69384,0.5785173158096811,27
69385,0.5501335069278982,27
69386,0.6155628242829627,27
69387,0.5334166410692491,27
69388,0.48349129337540897,27
69389,0.4704802867055531,27
75101,0.6289835823165258,27
75102,0.6385239370428379,27
75103,0.6480706701984253,27
75104,0.635479542861787,27
75105,0.6589649869203077,27
75106,0.6692742767239948,27
75107,0.6699574307642522,27
75108,0.641050016513921,27
75109,0.643521887672612,27
75110,0.5974969179571811,27
75111,0.6196795224510614,27
75112,0.5832544424928972,27
75113,0.5786601041117608,27
75114,0.6031379620805633,27
75115,0.6216241424606603,27
75116,0.6517202391342937,27
75117,0.5968515557866152,27
75118,0.5474522627483864,27
75119,0.5197318240046418,27
75120,0.5352892938842814,27
83120,0.4272275819160662,27
84089,0.4628184686977252,27
91027,0.4456856161227981,27
91326,0.4739890687846879,27
91432,0.5347643276197519,27
91479,0.5012565777866941,27
91589,0.5070001088778824,27
91687,0.4389069160021872,27
92002,0.6049027763162068,27
92004,0.525713085686816,27
92007,0.44705613306242076,27
92009,0.5844086924409979,27
92012,0.6239497111362764,27
92014,0.6180638499762043,27
92019,0.5407032547274832,27
92020,0.5401881436173716,27
92022,0.6072358944787204,27
92023,0.578827120456859,27
92024,0.4897854793197552,27
92025,0.4963931902933352,27
92026,0.5867514892578863,27
92032,0.5421749714874107,27
92033,0.6373237386896702,27
92035,0.5999314697482726,27
92036,0.3954888011265604,27
92040,0.6149374859492085,27
92044,0.6128624271346017,27
92046,0.5545315467072545,27
92047,0.6319473815063162,27
92048,0.5917393518555497,27
92049,0.6033294328323116,27
92050,0.4463648217113044,27
92051,0.6596324955035529,27
92060,0.5871560951335232,27
92062,0.5808195988873673,27
