codgeo;D1_st_Living;Median_st_Living;D9_st_Living;Interdecile_91_Ratio;Taxable_HH;Poverty_amg_Owners;Poverty_amg_Tenants;-30_Poverty;3039_Poverty;4049_Poverty;5059_Poverty;6074_Poverty;75+_Poverty;Poverty;Activity_Income;Salary_Income;Unemployment_Benef;Self-Employment;Pensions_Annuities;Estate;Social_Benef;Family_Benef;Social_Minima;Housing_Benef;Tax;taux_cumu_1_inj
200000172;13620;25420;48360;3,6;58,5;5,0;17,1;12,5;9,7;9,3;7,8;6,8;NA;8,7;86,2;79,3;3,1;3,8;18,8;9,1;3,0;1,6;0,8;0,6;-17,1;0,569
200000438;13860;21500;31380;2,3;46,7;5,4;19,8;8,9;6,1;7,7;9,5;6,7;11,1;7,8;76,1;69,9;3,0;3,2;26,7;6,3;5,2;3,0;1,4;0,8;-14,3;0,601
200000545;9840;17940;29390;3,0;38,3;12,3;43,0;37,2;34,0;32,4;23,0;16,6;NA;24,9;60,4;53,3;3,8;3,3;36,5;6,9;10,0;3,5;4,0;2,5;-13,8;0,576
200000628;10490;19440;33680;3,2;43,1;10,2;37,5;28,0;22,8;24,9;18,9;16,9;11,4;20,2;68,0;60,7;3,7;3,6;30,7;8,8;7,3;2,9;2,7;1,7;-14,8;0,533
200000800;13110;21380;34110;2,6;48,5;5,6;20,9;NA;NA;11,2;11,1;NA;NA;9,9;64,5;56,9;2,9;4,7;36,8;10,1;4,5;1,9;1,7;0,9;-15,9;0,707
200000925;14790;23600;34580;2,3;57,4;5,0;17,8;NA;5,3;6,8;5,7;5,0;NA;6,0;79,2;73,4;2,2;3,6;26,4;6,4;4,1;2,3;1,2;0,6;-16,1;0,694
200000933;12510;20750;33750;2,7;45,9;7,1;22,7;NA;16,3;13,7;13,6;8,1;NA;11,9;60,4;51,4;2,6;6,4;39,2;11,0;4,9;1,8;2,0;1,1;-15,5;0,721
200004802;11390;22710;40210;3,5;53,5;9,2;29,4;NA;16,0;16,1;14,7;12,3;11,7;14,5;67,8;57,3;3,3;7,2;33,6;13,8;3,8;1,7;1,4;0,7;-19,0;0,531
200005932;14290;24090;40770;2,9;60,0;5,0;19,6;NA;8,0;8,7;6,8;NA;NA;7,2;74,5;68,5;2,2;3,8;30,8;10,7;3,1;1,7;0,8;0,6;-19,1;0,722
200005957;10720;19280;31700;3,0;38,4;9,9;41,9;34,7;23,7;23,4;17,4;12,1;NA;19,1;65,7;57,1;3,3;5,3;31,8;8,8;7,6;3,0;2,9;1,7;-13,9;0,615
200006682;13130;22760;41940;3,2;55,2;5,0;20,5;13,6;11,6;11,0;9,8;7,0;7,1;9,7;73,1;59,6;2,3;11,2;28,1;14,1;3,9;1,6;1,4;0,9;-19,2;0,707
200006716;11930;20690;35650;3,0;49,7;6,5;27,4;NA;17,0;17,0;13,5;11,2;NA;14,3;72,3;63,8;2,8;5,7;28,4;9,5;6,2;2,7;2,1;1,4;-16,4;0,619
200006930;11490;19620;32230;2,8;39,5;10,8;29,8;NA;NA;NA;NA;NA;NA;16,2;59,6;50,1;2,3;7,2;38,4;10,4;5,4;1,9;2,3;1,2;-13,8;0,655
200006971;11630;20700;33180;2,9;47,7;6,5;30,9;26,3;18,8;16,6;16,3;8,8;7,9;14,3;59,7;51,2;2,8;5,7;40,2;10,1;5,8;2,2;2,2;1,4;-15,8;0,703
200007052;10440;18520;29590;2,8;33,9;15,8;34,5;NA;NA;NA;NA;15,2;20,2;19,4;50,1;40,0;2,3;7,8;47,6;10,2;5,1;1,6;2,5;1,0;-13,0;0,705
200007177;11310;19790;30850;2,7;38,3;11,4;34,5;NA;NA;NA;NA;NA;NA;16,8;58,9;50,5;2,9;5,5;38,5;8,9;7,0;2,4;3,2;1,4;-13,3;0,627
200010650;12070;21270;34960;2,9;48,8;5,1;28,4;20,3;16,7;16,5;13,0;7,9;8,0;13,3;68,2;61,0;2,6;4,6;34,3;7,7;6,1;2,3;2,4;1,4;-16,3;0,649
200010700;12440;21330;34810;2,8;48,7;5,0;27,5;19,0;13,5;13,7;12,2;7,5;8,6;12,1;74,4;67,6;2,9;3,9;28,4;6,4;6,0;2,7;2,1;1,2;-15,2;0,681
200011773;10680;26140;61610;5,8;41,7;5,9;27,0;19,5;16,2;18,7;15,7;13,9;10,8;16,1;85,1;78,0;3,9;3,2;19,6;8,0;3,2;1,1;1,2;0,9;-15,9;0,472
200011781;12210;20560;31560;2,6;43,6;8,6;27,5;NA;NA;14,1;15,8;NA;NA;12,2;64,8;56,8;2,9;5,1;36,8;6,9;5,8;2,1;2,6;1,1;-14,3;0,664
200013050;14460;23580;37480;2,6;56,8;5,0;18,6;NA;NA;7,3;6,1;NA;NA;6,5;76,1;69,6;2,2;4,3;30,1;7,6;2,8;1,6;0,8;0,4;-16,6;0,692
200015162;8630;17840;34880;4,0;39,0;19,6;40,1;NA;NA;32,9;28,0;25,2;25,7;28,5;62,1;48,5;2,6;11,0;35,7;10,8;7,6;1,6;4,3;1,7;-16,2;0,597
200016905;10860;18830;30890;2,8;32,6;14,0;33,9;NA;NA;26,4;16,2;13,7;NA;18,9;57,6;47,2;3,3;7,1;38,3;10,5;6,6;2,1;3,0;1,5;-13,0;0,623
200017341;9580;17930;31350;3,3;33,8;15,0;42,0;38,9;28,4;30,2;27,2;18,7;16,2;25,3;60,2;49,2;4,1;6,9;35,5;9,3;9,3;2,7;4,2;2,4;-14,3;0,557
200017846;12120;22280;36640;3,0;57,6;5,0;28,3;17,7;17,0;14,3;11,4;8,2;5,9;12,7;79,3;72,6;2,8;3,9;25,0;8,4;5,4;2,7;1,7;1,0;-18,1;0,584
200018083;11850;20200;32450;2,7;42,6;8,1;31,1;20,2;15,2;14,4;14,8;11,0;14,6;14,4;74,2;65,4;2,8;6,0;25,6;8,2;6,6;3,0;2,3;1,3;-14,6;0,703
200018166;15480;26550;46430;3,0;65,5;5,0;14,4;11,7;6,0;5,5;5,4;5,0;5,0;5,4;80,6;73,2;2,3;5,1;24,7;11,9;2,9;1,6;0,8;0,5;-20,1;0,685
200018406;11260;20540;33160;2,9;45,9;8,0;33,5;22,2;21,9;20,5;15,6;8,9;8,2;15,5;62,1;55,3;3,0;3,8;38,7;8,4;6,0;2,1;2,5;1,4;-15,2;0,665
200018521;11730;20060;30960;2,6;38,8;10,7;31,0;NA;NA;NA;NA;NA;NA;14,4;62,9;53,9;2,8;6,2;36,7;9,1;5,2;2,0;2,2;1,0;-13,9;0,676
200022986;14390;26150;47410;3,3;62,9;5,0;18,7;NA;9,2;8,2;7,5;5,2;5,8;7,4;77,3;65,0;2,7;9,6;28,6;12,7;3,0;1,4;1,0;0,6;-21,6;0,679
200023075;14640;27070;46830;3,2;62,0;5,0;14,9;NA;NA;5,0;8,4;8,1;NA;6,5;89,1;81,1;3,5;4,5;20,7;6,3;2,8;1,2;1,0;0,6;-18,9;0,534
200023125;13810;25880;44770;3,2;69,2;5,0;21,7;11,6;11,1;8,9;7,5;7,3;NA;8,4;83,4;76,7;2,6;4,1;24,8;9,7;3,4;1,8;1,0;0,6;-21,3;0,649
200023240;11670;21870;37090;3,2;54,0;5,8;28,4;23,7;19,6;16,6;12,4;8,7;NA;13,9;72,1;64,7;2,8;4,6;29,8;9,7;5,7;2,4;2,1;1,2;-17,3;0,625
200023299;11860;22320;39070;3,3;57,1;5,7;23,5;NA;15,9;17,3;14,1;NA;NA;13,7;76,7;61,7;4,4;10,6;23,2;15,2;4,0;1,7;1,3;1,0;-19,1;0,634
200023307;10840;19340;32670;3,0;40,2;11,1;35,1;27,9;23,4;22,6;18,8;13,3;14,2;18,8;60,6;51,4;3,3;5,9;37,6;10,0;7,3;2,4;3,1;1,8;-15,5;0,603
200023372;12350;23160;45680;3,7;59,3;8,9;14,7;NA;12,7;12,8;13,1;8,3;NA;11,5;75,7;61,5;3,1;11,1;24,0;18,9;2,1;1,1;0,6;0,4;-20,7;0,642
200023414;10840;20990;37410;3,5;50,6;5,0;30,8;27,7;20,8;20,8;16,4;10,9;7,5;17,3;73,1;65,3;3,0;4,8;29,8;7,5;7,2;2,4;2,9;1,9;-17,6;0,657
200023620;14020;24900;40950;2,9;59,3;5,0;19,8;NA;7,4;8,7;7,1;6,9;NA;8,1;85,3;78,6;2,3;4,4;19,4;9,7;4,1;2,1;1,2;0,8;-18,5;0,638
200023737;11620;21200;35760;3,1;48,3;7,0;29,9;28,6;19,1;16,7;14,8;9,1;9,3;14,5;62,2;53,4;3,0;5,8;38,4;10,3;5,9;1,9;2,6;1,4;-16,8;0,646
200023778;13640;22000;35220;2,6;52,0;5,3;17,9;12,3;10,1;11,1;10,0;5,0;7,0;8,3;53,1;45,6;2,8;4,7;48,3;11,8;3,2;1,4;1,1;0,7;-16,4;0,735
200023794;11490;20390;34980;3,0;42,9;9,1;29,5;27,1;17,4;16,0;14,4;11,4;14,2;15,3;69,0;60,4;3,3;5,3;31,6;8,3;6,4;2,1;2,9;1,4;-15,3;0,615
200023919;12000;21680;35080;2,9;52,4;6,7;31,3;25,0;18,4;15,9;10,9;6,9;NA;12,9;73,6;65,2;3,0;5,4;28,9;8,8;5,3;2,5;1,8;1,0;-16,6;0,623
200026573;11710;21050;35640;3,0;50,4;6,1;29,2;21,1;19,9;19,1;13,4;9,2;NA;14,6;69,4;62,7;3,0;3,7;32,8;8,4;5,5;2,3;1,9;1,3;-16,1;0,609
200027027;13280;21520;33900;2,6;47,9;6,8;18,7;NA;9,7;11,0;11,9;6,1;9,5;9,4;60,5;51,5;2,8;6,2;40,3;10,2;4,3;2,2;1,3;0,8;-15,3;0,672
200027076;12060;20830;32470;2,7;43,9;8,5;31,5;NA;17,7;15,2;NA;NA;NA;13,1;62,4;54,9;2,7;4,8;38,5;8,1;5,3;1,9;2,2;1,2;-14,3;0,641
200027100;12130;22310;38550;3,2;54,0;7,1;22,9;14,9;14,7;15,3;15,1;9,8;8,7;12,6;57,0;47,5;3,0;6,5;39,6;19,3;3,7;1,3;1,6;0,8;-19,6;0,607
200027183;9900;19020;34140;3,4;41,7;10,5;39,7;35,5;28,9;26,7;24,4;15,5;14,1;22,9;61,8;50,8;3,7;7,3;35,7;10,5;8,9;2,4;4,1;2,4;-16,9;0,598
200027217;11640;20580;34980;3,0;46,4;10,0;25,0;NA;18,2;18,6;15,3;10,6;13,9;14,9;59,9;50,0;3,6;6,3;39,1;12,2;5,2;1,5;2,4;1,3;-16,4;0,635
200027308;13060;21520;34110;2,6;46,0;7,4;19,6;NA;NA;12,0;NA;NA;NA;9,9;67,7;55,8;2,9;9,0;32,5;10,4;4,2;2,0;1,4;0,8;-14,8;0,666
200029734;11550;20060;33830;2,9;39,6;10,0;29,5;20,6;17,8;16,3;15,0;11,4;15,4;15,2;65,9;52,5;2,7;10,7;32,1;10,7;5,9;2,0;2,5;1,4;-14,6;0,651
200029999;13210;22120;35610;2,7;51,1;5,0;22,6;NA;13,1;9,8;7,6;NA;NA;9,4;76,0;68,0;3,0;5,0;26,6;8,4;4,8;2,4;1,4;1,0;-15,8;0,633
200030195;10640;21460;40370;3,8;53,5;8,5;27,9;25,2;19,8;19,7;17,6;14,5;12,7;17,5;72,6;62,3;3,2;7,1;29,8;12,1;5,6;1,7;2,5;1,4;-20,1;0,574
200030385;11470;21700;36450;3,2;52,9;5,0;32,6;23,8;20,8;17,6;14,0;8,4;6,4;14,7;69,6;61,9;2,8;4,9;32,8;8,7;6,0;2,3;2,3;1,4;-17,1;0,649
200030435;12020;21030;35830;3,0;44,0;7,8;28,9;NA;15,7;16,6;13,4;9,8;12,4;13,5;61,2;49,7;2,4;9,1;37,4;12,1;5,2;1,7;2,3;1,2;-15,9;0,712
200030526;13860;23250;36740;2,7;55,8;5,0;20,9;NA;8,3;7,7;7,3;5,4;NA;8,0;80,6;74,3;2,6;3,7;24,0;7,9;3,7;2,0;1,1;0,6;-16,2;0,663
200030633;10190;18240;30370;3,0;36,0;11,6;44,5;32,3;28,9;26,1;23,0;14,0;10,9;22,7;66,6;57,6;3,7;5,3;29,8;7,4;9,7;3,4;4,2;2,1;-13,5;0,636
200030658;12620;22050;36080;2,9;49,8;7,2;23,5;NA;18,4;12,2;10,4;NA;NA;11,2;67,5;58,4;2,9;6,2;33,0;11,4;4,1;2,0;1,3;0,8;-16,0;0,618
200030674;11120;19560;32790;2,9;40,7;10,5;31,2;22,7;19,0;20,4;17,2;12,9;15,1;17,1;63,2;54,1;3,1;6,0;35,0;10,5;6,5;2,2;2,7;1,6;-15,2;0,622
200032514;11330;20060;31640;2,8;41,3;10,2;30,9;NA;NA;NA;NA;NA;NA;14,5;58,9;50,6;2,7;5,6;39,8;9,7;5,8;2,1;2,5;1,2;-14,2;0,661
200033025;11770;21210;35050;3,0;49,4;6,0;30,0;25,1;18,4;16,8;14,2;9,2;7,4;13,9;65,3;58,1;2,4;4,8;37,1;8,3;5,8;1,8;2,6;1,4;-16,5;0,703
200033090;16390;26340;41680;2,5;71,6;5,0;13,1;NA;5,0;5,6;5,0;NA;NA;5,0;90,4;83,7;2,6;4,1;17,9;8,0;3,0;2,0;0,7;0,3;-19,3;0,622
200033116;12630;23000;41080;3,3;57,4;5,0;21,0;14,9;13,2;11,8;9,7;10,1;7,2;11,1;81,3;74,7;3,3;3,3;21,9;10,2;4,0;2,1;1,1;0,8;-17,4;0,572
200033173;18040;33180;59210;3,3;80,9;5,0;10,8;NA;NA;5,0;5,0;NA;NA;5,0;83,7;77,6;2,1;4,0;28,2;13,6;1,6;0,9;0,4;0,3;-27,1;0,715
200033181;12510;22860;38260;3,1;57,8;5,0;25,0;17,4;13,6;14,2;11,3;7,5;5,1;11,5;75,6;67,7;2,8;5,1;29,1;8,3;5,0;2,2;1,7;1,1;-18,0;0,675
200033298;12300;20200;30710;2,5;41,1;7,7;27,2;16,2;13,0;13,0;13,2;9,8;11,1;12,4;67,4;59,0;2,4;6,0;32,2;8,7;5,5;2,8;1,6;1,1;-13,8;0,671
200033579;11340;21510;37740;3,3;51,0;5,0;32,7;27,7;20,3;17,3;14,6;9,2;8,4;15,7;74,9;66,2;2,7;6,0;29,0;7,7;6,4;2,3;2,6;1,5;-18,0;0,685
200033827;10120;19300;34390;3,4;42,1;12,5;32,0;NA;23,2;23,5;21,9;18,5;18,3;21,0;63,2;51,5;3,1;8,6;34,3;12,1;6,6;2,1;3,0;1,5;-16,2;0,567
200033868;11860;19470;30750;2,6;37,8;9,1;30,1;NA;17,3;19,8;14,8;10,3;NA;14,6;62,6;55,0;3,3;4,3;37,7;7,8;5,5;2,0;2,2;1,3;-13,6;0,627
200034023;12930;22790;37520;2,9;50,8;5,7;21,7;18,7;9,5;9,6;10,9;9,3;11,2;10,3;76,0;68,2;2,9;4,9;26,3;9,9;4,7;2,1;1,6;1,0;-16,9;0,625
200034031;10960;19250;31640;2,9;36,6;14,6;31,7;NA;NA;19,8;17,3;14,0;NA;18,0;62,1;48,7;2,9;10,5;33,9;12,8;5,2;2,0;2,1;1,1;-14,0;0,651
200034049;11630;20050;31850;2,7;38,4;10,5;31,0;NA;12,7;16,9;17,6;13,1;15,2;15,2;66,3;56,7;2,9;6,7;30,6;12,1;5,7;2,3;2,2;1,2;-14,7;0,624
200034056;12370;20830;33410;2,7;43,8;8,8;23,9;NA;12,6;11,5;13,2;9,3;13,9;12,1;70,0;59,5;3,2;7,3;29,7;10,3;4,8;2,2;1,7;0,9;-14,8;0,647
200034064;9240;18280;33080;3,6;35,7;18,1;43,8;NA;40,7;30,0;27,9;17,6;NA;24,4;48,4;36,1;3,6;8,7;47,0;13,2;5,8;1,7;2,8;1,3;-14,4;0,611
200034098;14590;25310;45070;3,1;61,7;5,4;12,2;NA;NA;7,0;7,7;NA;NA;7,2;78,6;67,3;3,2;8,1;24,0;13,9;2,2;1,3;0,5;0,4;-18,7;0,616
200034130;18280;35350;70950;3,9;80,9;5,0;13,4;NA;NA;5,0;5,0;NA;NA;5,0;87,8;79,5;2,4;5,9;24,8;15,5;1,3;0,8;0,3;0,2;-29,4;0,715
200034197;10880;19380;32260;3,0;39,4;13,5;34,0;NA;20,1;18,8;20,2;13,3;17,4;17,9;61,5;51,3;3,2;7,0;37,6;9,2;6,0;2,3;2,5;1,2;-14,3;0,616
200034205;9760;19070;33220;3,4;39,5;14,7;35,2;NA;27,8;23,3;24,8;19,0;21,3;22,9;59,0;47,4;2,9;8,7;39,0;9,9;7,7;1,6;4,3;1,8;-15,6;0,559
200034270;13590;23850;39800;2,9;58,0;5,0;19,9;NA;10,8;12,0;6,5;6,6;NA;8,8;78,4;68,7;2,7;7,0;25,6;10,7;3,3;1,7;1,0;0,6;-18,0;0,675
200034379;10800;20640;37570;3,5;45,8;10,9;30,4;NA;20,2;20,2;19,2;12,9;12,2;17,0;58,2;48,5;3,2;6,5;40,4;13,1;5,4;1,7;2,4;1,3;-17,1;0,636
200034411;10340;19730;33290;3,2;39,1;12,9;35,1;28,7;23,2;21,2;20,5;14,7;13,9;19,3;63,7;52,8;3,9;7,0;34,6;9,9;6,6;2,2;2,8;1,6;-14,8;0,582
200034601;8600;17650;30350;3,5;32,6;18,7;40,9;NA;NA;36,4;28,8;18,6;NA;25,8;49,9;37,6;4,3;8,0;45,2;10,6;7,7;1,8;3,9;2,0;-13,4;0,565
200034635;16480;27360;47810;2,9;70,4;5,0;10,7;NA;5,4;5,2;5,0;NA;NA;5,0;81,7;73,4;1,9;6,4;25,7;11,7;2,0;1,2;0,5;0,3;-21,1;0,746
200034692;11040;21000;35870;3,2;47,7;7,7;34,5;25,5;17,7;19,0;16,1;14,0;11,5;16,5;70,2;61,3;3,1;5,8;31,2;8,6;6,3;2,3;2,5;1,5;-16,3;0,562
200034700;11280;21200;37570;3,3;47,5;7,7;29,0;24,5;18,3;19,4;16,4;11,9;10,4;16,0;61,9;52,7;3,1;6,1;32,8;17,4;5,4;1,9;2,2;1,3;-17,5;0,548
200034718;11210;19640;33390;3,0;43,2;6,0;32,3;25,2;20,7;22,0;17,5;12,1;9,5;17,2;64,8;55,0;3,0;6,8;33,3;9,5;7,2;2,4;3,0;1,8;-14,8;0,649
200034726;12070;21410;37110;3,1;45,2;9,5;25,3;NA;NA;12,3;13,6;11,7;18,7;13,3;69,7;59,5;2,7;7,5;30,2;10,7;4,8;1,9;1,9;1,0;-15,4;0,671
200034825;11550;21080;33560;2,9;48,2;6,8;32,8;26,4;18,5;17,6;14,2;8,9;11,2;14,8;64,1;56,9;2,5;4,7;37,7;8,1;6,2;1,9;2,8;1,5;-16,1;0,694
200034833;11410;20070;33680;3,0;42,0;11,8;29,9;NA;18,4;20,5;17,0;12,1;13,5;16,0;53,6;43,2;3,1;7,3;45,1;11,4;4,8;1,6;2,1;1,1;-14,9;0,649
200034874;12020;21010;33480;2,8;42,9;9,4;28,1;NA;NA;15,2;NA;NA;NA;13,1;69,5;58,4;2,6;8,5;30,1;9,9;4,8;2,5;1,4;0,9;-14,3;0,625
200034882;13730;23940;41810;3,0;61,2;5,0;14,6;11,0;9,5;8,9;8,1;7,3;7,4;8,5;76,3;66,2;2,7;7,4;25,8;14,6;2,8;1,4;0,8;0,6;-19,5;0,639
200034957;13920;23990;39260;2,8;57,4;5,0;18,8;NA;7,2;8,0;7,4;7,7;NA;8,1;84,9;77,2;2,9;4,8;19,6;9,6;4,0;2,1;1,2;0,7;-18,1;0,625
200035087;11490;21130;36890;3,2;47,5;8,8;25,7;17,9;15,3;15,7;13,8;14,2;15,3;15,0;74,7;63,3;3,6;7,8;25,7;12,0;5,2;2,1;1,9;1,2;-17,6;0,566
200035103;11660;20500;32940;2,8;41,4;8,9;28,5;NA;15,5;17,2;15,7;NA;NA;14,0;66,1;55,8;2,7;7,6;33,9;9,1;5,3;2,4;1,8;1,1;-14,4;0,668
200035111;11720;20090;31600;2,7;39,7;10,6;25,6;NA;13,6;17,6;18,5;11,3;NA;14,9;65,9;57,6;2,4;5,9;32,7;8,7;6,3;2,6;2,4;1,3;-13,6;0,680
200035129;9690;17920;30600;3,2;32,7;16,2;43,7;44,7;33,7;32,1;29,3;18,3;14,5;25,5;51,0;40,0;4,0;7,0;45,2;9,7;8,3;2,1;4,1;2,1;-14,2;0,588
200035137;10790;18710;31300;2,9;34,5;15,9;27,8;NA;NA;24,1;21,8;13,8;16,2;18,3;49,8;38,5;2,9;8,4;47,5;10,5;5,3;1,5;2,7;1,1;-13,1;0,722
200035202;13160;20980;33370;2,5;44,3;6,1;21,7;NA;9,5;12,2;11,4;7,0;NA;9,6;66,0;59,0;2,4;4,6;32,8;12,0;4,6;2,2;1,4;1,0;-15,4;0,664
200035319;11350;22000;40500;3,6;55,3;8,0;25,8;20,8;18,9;19,7;17,4;10,8;8,2;14,9;57,9;48,0;3,2;6,7;43,5;14,9;4,0;1,4;1,7;0,9;-20,3;0,590
200035327;10250;19210;33630;3,3;38,4;16,2;32,3;NA;NA;27,8;24,5;13,7;NA;20,1;47,7;38,6;2,8;6,3;50,3;11,2;5,1;1,7;2,2;1,2;-14,3;0,654
200035442;11980;20120;32700;2,7;42,7;8,0;31,4;21,2;16,0;14,5;13,1;9,3;12,6;13,8;73,0;62,4;2,8;7,8;27,0;8,8;6,0;2,8;2,1;1,1;-14,8;0,681
200035459;11470;20990;35730;3,1;48,2;6,4;29,5;22,7;18,4;17,2;15,0;10,8;11,2;15,3;70,2;62,0;3,0;5,2;31,1;9,2;6,4;2,2;2,6;1,6;-16,9;0,622
