codgeo;D1_st_Living;Median_st_Living;D9_st_Living;Interdecile_91_Ratio;Taxable_HH;Poverty_amg_Owners;Poverty_amg_Tenants;-30_Poverty;3039_Poverty;4049_Poverty;5059_Poverty;6074_Poverty;75+_Poverty;Poverty;Activity_Income;Salary_Income;Unemployment_Benef;Self-Employment;Pensions_Annuities;Estate;Social_Benef;Family_Benef;Social_Minima;Housing_Benef;Tax;taux_cumu_1_inj
200036069;11430;20290;33780;3,0;43,7;8,6;28,8;NA;18,2;16,7;18,3;9,9;NA;14,9;61,7;52,0;2,5;7,2;37,9;10,6;5,2;2,0;2,0;1,2;-15,4;0,685
200036077;11230;21870;44020;3,9;56,1;9,2;23,1;18,6;16,6;18,3;17,5;13,1;9,6;15,2;62,2;49,0;3,9;9,3;34,6;23,1;3,0;1,1;1,2;0,7;-22,9;0,605
200036135;11410;19690;32310;2,8;41,9;8,5;32,3;24,0;22,3;20,6;19,2;11,3;9,0;16,5;58,0;49,9;2,7;5,4;41,5;7,9;7,1;2,0;3,4;1,7;-14,5;0,664
200036150;11060;19130;30400;2,7;37,4;13,2;33,4;NA;22,9;20,4;15,2;13,9;NA;17,5;56,4;46,3;2,5;7,6;41,4;9,0;6,2;2,2;2,8;1,2;-13,0;0,692
200036465;12700;22670;39270;3,1;55,1;5,0;23,6;17,9;14,3;13,5;10,1;7,3;5,2;10,9;74,8;68,2;2,9;3,7;30,0;7,9;4,6;2,0;1,6;1,0;-17,3;0,616
200036473;12130;21260;35960;3,0;47,3;6,3;27,9;22,1;15,9;14,9;13,7;8,4;9,7;13,0;64,0;54,2;2,9;6,9;37,3;9,2;5,8;1,9;2,5;1,4;-16,3;0,661
200036499;10830;20760;35800;3,3;47,7;9,9;29,5;NA;18,8;18,4;16,8;13,8;16,9;17,2;78,1;67,5;2,9;7,7;24,7;9,3;6,0;1,9;2,6;1,5;-18,1;0,547
200036523;10880;19550;33240;3,1;37,8;13,1;32,1;NA;17,8;21,7;20,5;13,0;15,8;17,8;57,2;43,7;3,1;10,4;39,5;12,7;5,1;1,9;2,1;1,1;-14,5;0,638
200036549;11660;20210;33050;2,8;42,9;7,1;31,5;21,2;20,0;17,7;14,0;10,5;8,7;14,7;64,3;55,5;2,5;6,3;34,8;9,5;6,2;2,2;2,6;1,4;-14,8;0,664
200036572;11980;20960;34270;2,9;44,7;10,5;26,8;NA;NA;NA;NA;NA;NA;13,7;68,2;57,6;3,1;7,5;32,1;10,3;4,7;2,0;1,8;0,9;-15,3;0,631
200037059;11090;19510;32860;3,0;41,9;9,2;36,9;24,4;22,4;22,5;18,1;10,6;9,4;17,7;67,1;57,1;3,4;6,6;31,8;9,1;7,1;2,5;3,1;1,5;-15,1;0,700
200037133;11340;20960;35640;3,1;50,2;7,0;28,9;21,2;18,6;17,7;13,9;10,2;6,7;14,8;74,0;63,7;2,9;7,4;26,9;9,8;6,2;2,7;2,2;1,3;-16,9;0,635
200038958;11380;23450;43460;3,8;56,4;10,3;22,7;NA;NA;15,0;14,9;12,4;13,0;13,6;60,5;50,5;2,4;7,6;42,8;14,8;3,4;0,9;1,9;0,6;-21,5;0,634
200038990;13570;21240;32180;2,4;44,6;5,3;20,0;NA;8,4;8,8;7,9;6,2;11,1;8,4;76,7;68,0;2,6;6,1;24,3;7,7;5,7;3,1;1,6;1,0;-14,4;0,639
200039022;13960;21680;33970;2,4;47,7;5,0;18,5;10,1;7,3;8,1;7,8;5,1;8,6;7,6;79,0;70,9;2,6;5,5;22,2;9,4;4,9;2,7;1,3;0,9;-15,5;0,648
200039055;15380;24280;38530;2,5;59,8;5,0;15,9;NA;NA;NA;NA;NA;NA;5,6;76,1;68,3;2,4;5,4;29,2;8,3;3,2;1,9;0,8;0,5;-16,8;0,688
200039063;15110;25500;44980;3,0;61,8;5,0;NA;NA;NA;NA;NA;NA;NA;5,9;76,7;65,9;1,9;8,9;28,9;11,6;2,7;1,5;0,8;0,4;-19,9;0,716
200039204;12520;21400;34980;2,8;47,5;6,6;25,7;19,9;13,0;12,7;12,4;8,0;9,9;11,6;66,2;59,5;2,8;3,9;34,8;8,9;5,3;2,1;2,1;1,1;-15,2;0,664
200039519;10980;19660;34170;3,1;39,6;13,4;29,5;NA;NA;17,8;20,9;13,0;16,5;17,0;56,6;44,9;2,5;9,2;40,6;12,5;5,0;1,7;2,3;1,0;-14,7;0,626
200039642;10940;19810;33300;3,0;42,7;8,9;36,7;32,5;24,1;21,9;18,7;10,6;NA;17,2;58,2;48,3;2,5;7,4;40,2;9,9;6,5;2,1;3,0;1,4;-14,8;0,679
200039709;12170;21130;35210;2,9;44,2;9,4;24,2;NA;NA;NA;NA;NA;NA;12,6;60,0;48,4;2,0;9,6;38,5;11,6;4,5;1,8;1,9;0,8;-14,6;0,704
200039758;11650;20300;33860;2,9;44,6;8,1;28,2;NA;17,1;18,8;14,3;10,7;10,2;14,3;60,8;51,4;2,3;7,1;39,3;9,5;5,7;1,9;2,5;1,3;-15,3;0,674
200039808;11180;20320;34730;3,1;44,2;11,0;30,2;NA;19,0;24,2;18,7;10,1;NA;16,3;52,8;42,1;4,6;6,1;42,9;14,6;4,9;1,7;2,0;1,2;-15,2;0,612
200039824;10740;18950;31630;2,9;37,1;13,8;32,5;NA;24,8;19,2;21,2;13,7;NA;18,4;54,1;45,1;3,6;5,4;42,5;11,1;6,1;2,1;2,5;1,5;-13,8;0,573
200039832;9460;19340;34140;3,6;38,3;15,5;37,7;NA;29,3;31,4;27,0;14,4;NA;22,1;49,5;36,9;4,1;8,5;45,8;13,6;6,2;1,7;2,8;1,7;-15,1;0,582
200039857;12230;23270;42110;3,4;57,6;6,2;22,9;16,1;13,3;12,9;12,4;10,1;10,2;12,1;76,3;67,0;3,2;6,1;26,3;13,3;4,4;1,7;1,7;1,0;-20,3;0,562
200039865;10610;21640;41810;3,9;49,9;5,4;30,4;29,2;24,8;21,4;15,8;10,3;8,6;18,0;67,6;58,9;2,8;5,9;28,1;16,2;6,1;1,8;2,6;1,7;-18,0;0,654
200039907;14760;24340;38960;2,6;57,0;5,0;14,6;NA;6,3;6,2;7,4;NA;NA;6,5;77,8;70,6;2,0;5,2;24,0;11,1;3,3;1,9;0,9;0,5;-16,2;0,715
