codgeo,1ry_res,2ry_res,Vacant_Home,Houses,Flats,Nb_Rooms_1ry_res,House_1ry_res,Flat_1ry_res,1ry_res_bf_1919,1ry_res_19-45,1ry_res_46-70,1ry_res_71-90,1ry_res_91-05,1ry_res_06-15,HH_Moving_Time_lt2y,HH_Moving_Time_2to4y,HH_Moving_Time_5to9y,HH_Moving_Time_10to19y,HH_Moving_Time_20to29y,HH_Moving_Time_gt30y,1ry_res_Owner,1ry_res_Tenant,1ry_res_Social,1ry_res_FreeAcc,1ry_res_Carpark,1ry_res_0car,1ry_res_1car,1ry_res_2car,1ry_res_3+car,Pop_per_1ry_res,1ry_res_gt0car,Pop_per_1ry_res_Owner,Pop_per_1ry_res_Tenant,Pop_per_1ry_res_Social,Pop_per_1ry_res_FreeAcc,1ry_res_Occupancy,Owners_Occupancy,Tenant_Occupancy,Social_Occupancy,FreeAcc_Occupancy,Overcrowding_rate,taux_cumu_1_inj
240700864,77.72945812362521,11.038039043120117,11.232502823775604,72.89975681389284,25.74699314976669,4.361874511940921,74.62402568983723,24.89570272199045,17.474676813919164,5.716074736733438,20.770543912675603,27.29585040276989,16.58164477670357,12.161209357198342,11.507615507155467,16.31466636935149,16.726047166329472,21.726963763001496,12.233946300545337,21.49076088142177,67.31004636305596,20.270697088740196,6.544232912442708,2.0447707517003506,65.66893845945536,7.91887898467644,45.2819566686043,37.52414553806637,9.275018808652879,2.244564609563806,92.08112101532355,2.2912585876697755,2.0855957167180836,2.6531616942044742,1.4787790932003204,15.706391060961781,13.432237295997409,1.1743645900782813,0.6821058717838149,0.09479349895389137,2.5441040322310515,0.602
240800821,80.81605467508356,4.630201009834441,14.553744315081996,75.13247402790627,23.46252367964853,4.564197985531859,76.8324627254712,22.414258328458768,17.843019143359534,16.247211616979982,29.714299230403626,23.171394947057564,6.812124934878245,6.211950118895713,9.715063373663526,16.967319339967272,14.574135863066248,20.16922773164159,11.881369163125585,26.692884528535767,60.81892869469559,21.650916243615786,13.70627050196396,1.798053605397741,55.728306670204724,19.498212337867706,46.29048363021117,27.89119267788538,6.320111354035734,2.182164464946071,80.50178766213229,2.257236403894176,2.1249954180324067,2.0630488284102078,1.460433369764649,26.032744853875624,21.143813994241267,2.3524475462649246,2.0287604818488174,0.174247703352339,1.525099026523188,0.681
240800847,84.81344017804375,3.9390551411242343,11.247504680832012,86.42126318668187,13.002967122335532,4.820770699397515,86.89794058184077,12.566829701378415,22.71222433128256,13.049053484315523,27.974027944219014,19.032543822440537,9.044502106709531,8.187648299471935,8.708101540745028,14.876659510117866,15.167493513529848,19.914205689749945,12.782107026130385,28.551432731189866,69.374971275208,18.67275266219414,9.719844313322106,0.4990267496953072,66.41251700044987,12.517195743656446,44.67433586453114,34.833931235924524,7.9745371558879,2.281807997823061,87.48280425634356,2.2972873132050964,2.3255303319142406,2.152226294245316,2.068021006021662,20.14101004241474,17.107453866152856,1.404081630583334,1.2506433087834339,0.052271426517998314,0.8104828977263006,0.683
240800862,81.76554096557874,7.334209462232235,10.900249572189017,93.8257343691743,5.622432818537952,5.069966937629058,93.96230140098504,5.607562379023366,31.97926053235027,14.880406683032978,15.010288412552695,17.74638834488216,10.812885392237199,9.57077062411408,8.793868164978676,13.790975621358786,15.038700137703318,22.20989010967827,12.96167362316943,27.204892343111524,78.01457869227058,17.287150842880283,1.973772729606903,0.45828218046915437,73.87598390390961,8.511603496507902,42.65118541310588,39.6827903119393,9.154420778446918,2.310963709936641,91.4883965034921,2.3194467955212072,2.345632726922306,2.101428543816531,2.2503496613216822,21.14250246902172,19.100015187512405,1.3125886587906208,0.26446818780216796,0.030923883789537088,0.9039504293118747,0.721
240800920,78.14947617603357,8.988726329629893,12.861797494336528,86.32651909809363,13.255831252768415,4.909484915856737,86.28920978897575,13.456061219546516,19.38149752562104,25.865887123414467,23.496123367638027,17.488276952628727,7.782157322410365,5.9860576954691185,8.398320427393596,13.866361041072544,14.926041000284087,20.273925341808685,13.370436306870273,29.164915882570813,71.89022086276572,17.46361872249855,6.835255325216252,0.6306930257052985,71.5259475305999,13.048907665937579,46.22223076175077,33.83277075390372,6.896090831131381,2.14522541062238,86.95109234678587,2.1831701445817453,2.165578918311017,1.9456932352655352,1.6451671036202968,18.68811210006594,16.39107652803731,1.1838231610961667,0.6616265979680167,0.03501921428913667,1.3211930338293154,0.742
240900431,59.200015121143814,32.56277668585667,8.237208207607624,81.71673419831451,16.734506808516606,4.394852355033217,80.2736214377399,19.009639768469675,20.078434371651046,10.30255919064727,25.529652383909333,24.70002585191965,11.543700007894218,7.845628193978479,10.03126578777865,16.346666226423174,15.495484319647293,22.280143132703785,11.866009961288382,23.980430547482857,68.65155972059473,19.74079167705127,6.326769367815411,1.726289024456837,64.26348991066592,13.86087779997348,46.11774087681268,31.254338036068884,8.7670433118208,2.0290116254144004,86.13912222470238,2.0720682845900527,1.844030971890125,2.202932444224617,1.815021100180272,8.406010442605485,7.1677203716252444,0.6208586622814523,0.35581311001138516,0.05398870350976862,2.072357391026978,0.685
240900464,70.31082657222036,16.192754336402235,13.496419081772121,81.17498667078462,18.43720219736388,4.449710337893248,83.60486283208834,16.064071052197896,12.260860352252752,13.450005063759399,30.163672281148173,30.412439528088566,7.420402825020229,6.292619963473626,9.993305982190286,15.264165343282246,14.362398686814423,17.463254462708022,11.460898816743832,31.455976708261183,69.87657204271864,22.656928883022164,4.3320053544328285,0.771501225354999,70.25344169486553,16.096856347417145,48.2152292073881,29.602667885283747,6.085246559911005,2.005187588871337,83.90314365258286,2.029787000909797,1.9340545610980833,2.059967741371101,1.4898955170391441,17.419528087731667,15.373068165214436,1.3348067434649582,0.37131198279225447,0.04245263067231588,1.5107903951519739,0.659
241000223,87.24786927093355,4.851669212478905,7.900461516587548,96.76958909071257,2.7908200458449097,4.8932966046235435,97.29194172565799,2.384689551778859,20.554182991267684,5.635562625343418,9.712363537234507,30.35854773493549,17.06186398419931,16.677479127019584,8.700767049788855,13.842012209543636,15.251147087923238,22.319685308106845,13.106925700769166,26.77946260805888,76.73851108223637,13.191043240735803,8.240395407111617,0.1794129085683014,83.96538061590991,5.738520924446477,37.46036172526742,45.77257969825424,11.028537616222478,2.429666930066793,94.26147903974415,2.4496891725003422,2.3342948999604887,2.5272033642939014,1.6008161318265464,6.248152666379187,5.631030882564325,0.25346530090738806,0.24036060893333425,0.004019256726695278,0.5391802255589591,0.729
241000405,80.16109189765123,6.268192656119251,13.570715430953317,75.12876510437518,24.42824527643537,4.4647937805029425,75.76794137898918,23.884183182971668,28.301574289488542,8.98091023534315,20.667356694871835,26.351115978837363,10.33959643051814,5.359446390233472,9.73904518943346,16.455705173020117,13.474876947285056,20.639925232104098,12.434615546447967,27.25583189265242,59.566272046524595,15.050997986661999,21.211692302150215,0.9664454690310509,68.6286601826961,16.095774822433413,48.14800342800379,29.184595584640952,6.571626164921851,2.0236464638521157,83.9042251775666,2.1216254047647185,1.8317249647701657,1.9214812107046946,1.3828420177253082,11.422796223399523,8.853724816275031,0.7031475316627538,1.523136833519283,0.04472124456126181,0.991587966504603,0.748
241000447,72.73905482746589,16.76064113817453,10.500304034359589,93.7253664885023,5.5422963991665695,4.608845900372895,93.26666066231844,5.988756796629085,37.95510372511693,11.201604129639579,11.587729488067776,19.058879184954126,10.53603586869642,9.660647574740366,8.23414850945414,13.46536345663404,16.20183783342705,26.49250858590475,12.993602556135102,22.61253905844492,77.2517227635139,10.370039357897559,9.620802038655231,0.3481002742241645,69.95965152500355,9.004270695779551,45.03730807969134,37.20857227875453,8.749848945774577,2.209115971313022,90.99572930422046,2.203870012711729,2.367315290654119,2.186205943408532,2.0897742667129173,7.2517547588246165,6.469936924896929,0.2750500869285475,0.3657691724219754,0.00891893559301925,1.1778219123788647,0.704
